Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Rosenquist J.,,Social network determinants of depression,2011,Molecular Psychiatry,217,10.1038/mp.2010.13,United States;United States,Article,Boston;Boston,1,Journal,2-s2.0-78349263348
Rosenquist J.,,The spread of alcohol consumption behavior in a large social network,2010,Annals of Internal Medicine,321,10.7326/0003-4819-152-7-201004060-00007,United States,Article,Boston,0,Journal,2-s2.0-77951249196
Cacioppo J.,,Alone in the Crowd: The Structure and Spread of Loneliness in a Large Social Network,2009,Journal of Personality and Social Psychology,332,10.1037/a0016076,United States,Article,Chicago,0,Journal,2-s2.0-70349186097
Leider S.,,Directed altruism and enforced reciprocity in social networks,2009,Quarterly Journal of Economics,160,10.1162/qjec.2009.124.4.1815,,Article,,0,Journal,2-s2.0-72449191233
Stanca L.,,Measuring indirect reciprocity: Whose back do we scratch?,2009,Journal of Economic Psychology,64,10.1016/j.joep.2008.07.010,Italy,Article,Milan,0,Journal,2-s2.0-62349120875
Rees M.,,"A nonsimultaneous, extended, altruistic-donor chain",2009,New England Journal of Medicine,217,10.1056/NEJMoa0803645,United States;United States,Article,Toledo;Maumee,0,Journal,2-s2.0-62349094336
Fowler J.,,Model of genetic variation in human social networks,2009,Proceedings of the National Academy of Sciences of the United States of America,140,10.1073/pnas.0806746106,United States,Article,San Diego,1,Journal,2-s2.0-60549101053
Kearns M.,,Behavioral experiments on biased voting in networks,2009,Proceedings of the National Academy of Sciences of the United States of America,73,10.1073/pnas.0808147106,United States,Article,Philadelphia,1,Journal,2-s2.0-60849094097
Saavedra S.,,A simple model of bipartite cooperation for ecological and organizational networks,2009,Nature,107,10.1038/nature07532,United Kingdom;United Kingdom,Article,Oxford;Oxford,0,Journal,2-s2.0-58749106933
Weber J.M.,,Suckers or Saviors? Consistent Contributors in Social Dilemmas,2008,Journal of Personality and Social Psychology,65,10.1037/a0012454,Canada,Article,Toronto,0,Journal,2-s2.0-57949102967
Kocher M.,,Conditional cooperation on three continents,2008,Economics Letters,140,10.1016/j.econlet.2008.07.015,Germany,Article,Munich,0,Journal,2-s2.0-55549100923
Gorin A.A.,,Weight loss treatment influences untreated spouses and the home environment: Evidence of a ripple effect,2008,International Journal of Obesity,131,10.1038/ijo.2008.150,United States,Article,Storrs,1,Journal,2-s2.0-56549120035
Santos F.,,Social diversity promotes the emergence of cooperation in public goods games,2008,Nature,838,10.1038/nature06940,Belgium,Article,Brussels,0,Journal,2-s2.0-47049124531
Christakis N.,,The collective dynamics of smoking in a large social network,2008,New England Journal of Medicine,1323,10.1056/NEJMsa0706154,United States;United States;United States,Article,Cambridge;Cambridge;Boston,0,Journal,2-s2.0-44249122799
Cesarini D.,,Heritability of cooperative behavior in the trust game,2008,Proceedings of the National Academy of Sciences of the United States of America,200,10.1073/pnas.0710069105,United States,Article,Cambridge,1,Journal,2-s2.0-41649120795
Nickerson D.,,Is voting contagious? Evidence from two field experiments,2008,American Political Science Review,250,10.1017/S0003055408080039,United States,Article,Notre Dame,0,Journal,2-s2.0-43049096073
Fowler J.,,Dynamic spread of happiness in a large social network: longitudinal analysis over 20 years in the Framingham Heart Study.,2008,BMJ (Clinical research ed.),814,10.1136/bmj.a2338,United States,Article,San Diego,1,Journal,2-s2.0-58149387739
Christakis N.,,The spread of obesity in a large social network over 32 years,2007,New England Journal of Medicine,2896,10.1056/NEJMsa066082,United States;United States;United States,Article,Cambridge;Cambridge;Boston,0,Journal,2-s2.0-34547170053
Szabó G.,,Evolutionary games on graphs,2007,Physics Reports,1724,10.1016/j.physrep.2007.04.004,Hungary,Review,Budapest,0,Journal,2-s2.0-34250617077
Taylor P.,,Evolution of cooperation in a finite homogeneous graph,2007,Nature,214,10.1038/nature05784,Canada,Article,Kingston,0,Journal,2-s2.0-34249340864
Pacheco J.,,Coevolution of strategy and structure in complex networks with dynamical linking,2006,Physical Review Letters,477,10.1103/PhysRevLett.97.258103,United States;Portugal,Article,Cambridge;Lisbon,0,Journal,2-s2.0-33845648428
Nowak M.,,Five rules for the evolution of cooperation,2006,Science,2878,10.1126/science.1133755,United States,Review,Cambridge,0,Journal,2-s2.0-33845415805
Santos F.,,Cooperation prevails when individuals adjust their social ties,2006,PLoS Computational Biology,364,10.1371/journal.pcbi.0020140,Belgium,Article,Brussels,1,Journal,2-s2.0-33750440513
Kearns M.,,An experimental study of the coloring problem on human subject networks,2006,Science,157,10.1126/science.1127207,United States,Article,Philadelphia,0,Journal,2-s2.0-33747084763
Ohtsuki H.,,A simple rule for the evolution of cooperation on graphs and social networks,2006,Nature,1234,10.1038/nature04605,Japan;United States,Article,Fukuoka;Cambridge,0,Journal,2-s2.0-33745317468
Singh J.,,Collaborative networks as determinants of knowledge diffusion patterns,2005,Management Science,561,10.1287/mnsc.1040.0349,Singapore,Article,Singapore City,0,Journal,2-s2.0-20944437611
Lleberman E.,,Evolutionary dynamics on graphs,2005,Nature,729,10.1038/nature03204,United States;United States,Article,Cambridge;Cambridge,0,Journal,2-s2.0-12844260210
Fehr E.,,Social norms and human cooperation,2004,Trends in Cognitive Sciences,667,10.1016/j.tics.2004.02.007,Switzerland,Review,Zurich,0,Journal,2-s2.0-1842472265
Fehr E.,,Altruistic punishment in humans,2002,Nature,2714,10.1038/415137a,Switzerland,Article,Zurich,0,Journal,2-s2.0-0037049973
Gintis H.,,Costly signaling and cooperation,2001,Journal of Theoretical Biology,421,10.1006/jtbi.2001.2406,United States,Article,Amherst MA,0,Journal,2-s2.0-0035824013
Sacerdote B.,,Peer effects with random assignment: Results for Dartmouth roommates,2001,Quarterly Journal of Economics,763,10.1162/00335530151144131,,Article,,0,Journal,2-s2.0-0005508977
Pugh S.,,Service with a smile: Emotional contagion in the service encounter,2001,Academy of Management Journal,738,10.2307/3069445,United States,Article,Charlotte,0,Journal,2-s2.0-0035643026
McPherson M.,,Birds of a feather: Homophily in social networks,2001,Annual Review of Sociology,8128,10.1146/annurev.soc.27.1.415,United States,Article,Tucson,0,Book Series,2-s2.0-0035639140
Skyrms B.,,A dynamic model of social network formation,2000,Proceedings of the National Academy of Sciences of the United States of America,302,10.1073/pnas.97.16.9340,United States,Article,Irvine,1,Journal,2-s2.0-0034255271
