Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Kandiah V.,,Google Matrix Analysis of DNA Sequences,2013,PLoS ONE,8,10.1371/journal.pone.0061519,France,Article,Toulouse,1,Journal,2-s2.0-84877353458
Ermann L.,,Spectral properties of Google matrix of Wikipedia and other networks,2013,European Physical Journal B,18,10.1140/epjb/e2013-31090-8,France;Argentina,Article,Toulouse;Buenos Aires,0,Journal,2-s2.0-84877978535
Török J.,,"Opinions, conflicts, and consensus: Modeling social dynamics in a collaborative environment",2013,Physical Review Letters,48,10.1103/PhysRevLett.110.088701,Hungary,Article,Budapest,0,Journal,2-s2.0-84874175892
Aragon P.,,Biographical social networks on Wikipedia: A cross-cultural study of links that made history,2012,WikiSym 2012 Conference Proceedings - 8th Annual International Symposium on Wikis and Open Collaboration,10,10.1145/2462932.2462958,Spain,Conference Paper,Barcelona,0,Conference Proceeding,2-s2.0-84877608514
Warncke-Wang M.,,"In search of the ur-Wikipedia: Universality, similarity, and translation in the Wikipedia inter-language link network",2012,WikiSym 2012 Conference Proceedings - 8th Annual International Symposium on Wikis and Open Collaboration,13,10.1145/2462932.2462959,United States,Conference Paper,Minneapolis,0,Conference Proceeding,2-s2.0-84877633080
Kaltenbrunner A.,,There is no deadline: Time evolution of Wikipedia discussions,2012,WikiSym 2012 Conference Proceedings - 8th Annual International Symposium on Wikis and Open Collaboration,17,10.1145/2462932.2462941,Spain,Conference Paper,Barcelona,0,Conference Proceeding,2-s2.0-84877612108
Yasseri T.,,A Practical Approach to Language Complexity: A Wikipedia Case Study,2012,PLoS ONE,26,10.1371/journal.pone.0048386,Hungary,Article,Budapest,1,Journal,2-s2.0-84868674734
Ermann L.,,Toward two-dimensional search engines,2012,Journal of Physics A: Mathematical and Theoretical,14,10.1088/1751-8113/45/27/275101,France,Article,Toulouse,0,Journal,2-s2.0-84863100066
Callahan E.,,Cultural bias in Wikipedia content on famous persons,2011,Journal of the American Society for Information Science and Technology,76,10.1002/asi.21577,United States,Review,Hamden,0,Journal,2-s2.0-80052746971
Norenzayan A.,,Explaining human behavioral diversity,2011,Science,15,10.1126/science.1207050,Canada,Short Survey,Vancouver,0,Journal,2-s2.0-79957610321
Gelfand M.J.,,Differences between tight and loose cultures: A 33-nation study,2011,Science,836,10.1126/science.1197754,United States,Article,College Park,0,Journal,2-s2.0-79957624101
Kwak H.,,"What is Twitter, a social network or a news media?",2010,"Proceedings of the 19th International Conference on World Wide Web, WWW '10",3937,10.1145/1772690.1772751,South Korea,Conference Paper,Yusong,0,Conference Proceeding,2-s2.0-77954619566
Zhirov A.O.,,Two-dimensional ranking of Wikipedia articles,2010,European Physical Journal B,44,10.1140/epjb/e2010-10500-7,Russian Federation,Article,Novosibirsk,0,Journal,2-s2.0-80755147621
Clauset A.,,Power-law distributions in empirical data,2009,SIAM Review,4492,10.1137/070710111,United States;United States,Review,Albuquerque;Santa Fe,0,Journal,2-s2.0-65549085067
Brandes U.,,Network analysis of collaboration structure in Wikipedia,2009,WWW'09 - Proceedings of the 18th International World Wide Web Conference,99,10.1145/1526709.1526808,Germany,Conference Paper,Konstanz,0,Conference Proceeding,2-s2.0-70849106743
Langville A.,,Google's PageRank and beyond: The science of search engine rankings,2009,Google's PageRank and Beyond: The Science of Search Engine Rankings,464,,United States,Book,Charleston,0,Book,2-s2.0-84883905026
Chen P.,,Finding scientific gems with Google's PageRank algorithm,2007,Journal of Informetrics,270,10.1016/j.joi.2006.06.001,United States,Article,Boston,0,Journal,2-s2.0-33846293215
Page L.,,The anatomy of a large-scale hypertextual Web search engine,1998,Computer Networks,7265,,United States,Article,Palo Alto,0,Journal,2-s2.0-0038589165
