Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Gill A.J.,,The language of emotion in short blog texts,2008,"Proceedings of the ACM Conference on Computer Supported Cooperative Work, CSCW",51,10.1145/1460563.1460612,United States,Conference Paper,Evanston,0,Conference Proceeding,2-s2.0-70849133970
Hancock J.,,Expressing emotion in text-based communication,2007,Conference on Human Factors in Computing Systems - Proceedings,164,10.1145/1240624.1240764,United States,Conference Paper,Ithaca,0,Conference Proceeding,2-s2.0-35348819494
Kramer A.,,Text analysis as a tool for analyzing conversation in online support groups,2004,Conference on Human Factors in Computing Systems - Proceedings,30,10.1145/985921.986096,United States,Conference Paper,Pittsburgh,0,Conference Proceeding,2-s2.0-38149077417
Cacioppo J.,,Beyond bipolar conceptualizations and measures: The case of attitudes and evaluative space,1997,Personality and Social Psychology Review,752,10.1207/s15327957pspr0101_2,United States,Article,Columbus,0,Journal,2-s2.0-21744443038
Diener E.,,Factors Predicting the Subjective Well-Being of Nations,1995,Journal of Personality and Social Psychology,923,10.1037/0022-3514.69.5.851,United States,Article,Peoria,0,Journal,2-s2.0-0029410911
Diener E.,,The Satisfaction With Life Scale,1985,Journal of Personality Assessment,12380,10.1207/s15327752jpa4901_13,United States,Article,Urbana,0,Journal,2-s2.0-0021821428
