Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Keith S.,,Cyberpunters and cyberwhores: Prostitution on the internet,2012,"Dot.cons: Crime, Deviance and Identity on the Internet",10,10.4324/9781843924449,United Kingdom,Chapter,Luton,0,Book,2-s2.0-84925715467
Rybski D.,,Scaling laws of human interaction activity,2009,Proceedings of the National Academy of Sciences of the United States of America,154,10.1073/pnas.0902667106,United States,Article,New York,1,Journal,2-s2.0-69149106842
Malmgren R.,,A Poissonian explanation for heavy tails in e-mail communication,2008,Proceedings of the National Academy of Sciences of the United States of America,290,10.1073/pnas.0800332105,United States,Article,Evanston,1,Journal,2-s2.0-57449102952
De Blasio B.,,Preferential attachment in sexual networks,2007,Proceedings of the National Academy of Sciences of the United States of America,37,10.1073/pnas.0611337104,Norway,Article,Oslo,1,Journal,2-s2.0-34547416465
Onnela J.,,Structure and tie strengths in mobile communication networks,2007,Proceedings of the National Academy of Sciences of the United States of America,1134,10.1073/pnas.0610245104,Finland;United Kingdom,Article,Espoo;Oxford,1,Journal,2-s2.0-34250628484
Bettencourt L.,,"Growth, innovation, scaling, and the pace of life in cities",2007,Proceedings of the National Academy of Sciences of the United States of America,1058,10.1073/pnas.0610172104,United States,Article,Los Alamos,1,Journal,2-s2.0-34249860847
Nordvik M.,,Spatial bridges and the spread of chlamydia: The case of a County in Sweden,2007,Sexually Transmitted Diseases,15,10.1097/01.olq.0000222722.79996.4b,Sweden,Article,Stockholm,0,Journal,2-s2.0-33845983290
Costa L.,,Characterization of complex networks: A survey of measurements,2007,Advances in Physics,1373,10.1080/00018730601170527,Brazil,Review,Sao Paulo,0,Journal,2-s2.0-33947724499
Hidalgo R. C.,,Conditions for the emergence of scaling in the inter-event time of uncorrelated and seasonal systems,2006,Physica A: Statistical Mechanics and its Applications,56,10.1016/j.physa.2005.12.035,United States;United States,Article,Notre Dame;Notre Dame,0,Journal,2-s2.0-33745713295
Kossinets G.,,Empirical analysis of an evolving social network,2006,Science,966,10.1126/science.1116869,United States,Article,New York,0,Journal,2-s2.0-30344443646
Harcourt C.,,The many faces of sex work,2005,Sexually Transmitted Infections,211,10.1136/sti.2004.012468,Australia,Review,Sydney,1,Journal,2-s2.0-20644443508
Barabási A.,,The origin of bursts and heavy tails in human dynamics,2005,Nature,1454,10.1038/nature03459,United States,Article,Notre Dame,0,Journal,2-s2.0-18744406314
Holme P.,,Network reachability of real-world contact sequences,2005,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",138,10.1103/PhysRevE.71.046119,United States,Article,Ann Arbor,0,Journal,2-s2.0-41349102707
Bargh J.,,The Internet and social life,2004,Annual Review of Psychology,682,10.1146/annurev.psych.55.090902.141922,United States,Article,New York,0,Book Series,2-s2.0-1842590350
Eckmann J.,,Entropy of dialogues creates coherent structures in e-mail traffic,2004,Proceedings of the National Academy of Sciences of the United States of America,287,10.1073/pnas.0405728101,Switzerland,Article,Geneva,1,Journal,2-s2.0-5144224669
Szendroi B.,,Polynomial epidemics and clustering in contact networks,2004,Proceedings of the Royal Society B: Biological Sciences,48,10.1098/rsbl.2004.0188,Netherlands,Article,Utrecht,0,Journal,2-s2.0-3242889980
Bearman P.,,Chains of affection: The structure of adolescent romantic and sexual networks,2004,American Journal of Sociology,410,10.1086/386272,United States,Article,New York,0,Journal,2-s2.0-7044264926
Holme P.,,Structure and time evolution of an Internet dating community,2004,Social Networks,192,10.1016/j.socnet.2004.01.007,Sweden,Article,Umea,0,Journal,2-s2.0-1842661569
Liljeros F.,,Sexual networks: Implications for the transmission of sexually transmitted infections,2003,Microbes and Infection,177,10.1016/S1286-4579(02)00058-8,Sweden;Sweden,Review,Stockholm;Solna,0,Journal,2-s2.0-0037297684
Newman M.,,The structure and function of complex networks,2003,SIAM Review,11538,10.1137/S003614450342480,United States,Review,Ann Arbor,0,Journal,2-s2.0-0038718854
Moody J.,,The importance of relationship timing for diffusion,2002,Social Forces,129,10.1353/sof.2002.0056,United States,Article,Columbus,0,Journal,2-s2.0-0036749987
Kempe D.,,Connectivity and inference problems for temporal networks,2002,Journal of Computer and System Sciences,141,10.1006/jcss.2002.1829,United States,Article,Ithaca,1,Journal,2-s2.0-18144395878
Edlund L.,,A theory of prostitution,2002,Journal of Political Economy,170,10.1086/324390,United States,Article,New York,0,Journal,2-s2.0-0036187549
Johnson A.,,"Sexual behaviour in Britain: Partnerships, practices, and HIV risk behaviours",2001,Lancet,660,10.1016/S0140-6736(01)06883-0,United Kingdom,Article,London,0,Journal,2-s2.0-0035657752
Riolo C.S.,,Methods and measures for the description of epidemiologic contact networks,2001,Journal of Urban Health,38,10.1093/jurban/78.3.446,United States,Article,Ann Arbor,0,Journal,2-s2.0-0034849172
Elford J.,,Seeking sex on the Internet and sexual risk behaviour among gay men using London gyms,2001,AIDS,168,10.1097/00002030-200107270-00010,United Kingdom,Article,London,0,Journal,2-s2.0-0035958781
Liljeros F.,,Social networks: The web of human sexual contacts,2001,Nature,1172,10.1038/35082140,Sweden,Article,Stockholm,0,Journal,2-s2.0-0035927795
Wylie J.L.,,"Patterns of chlamydia and gonorrhea infection in sexual networks in Manitoba, Canada",2001,Sexually Transmitted Diseases,103,10.1097/00007435-200101000-00005,Canada;Canada,Article,Winnipeg;Winnipeg,0,Journal,2-s2.0-0035152424
Morris M.,,Concurrent partnerships and transmission dynamics in networks,1995,Social Networks,242,10.1016/0378-8733(95)00268-S,United States,Article,New York,0,Journal,2-s2.0-0000522884
Katz J.,,Geographical proximity and scientific collaboration,1994,Scientometrics,313,10.1007/BF02018100,United Kingdom,Article,Brighton,0,Journal,2-s2.0-0003125923
