Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Lin Y.,,Splog detection using self-similarity analysis on blog temporal dynamics,2007,ACM International Conference Proceeding Series,33,10.1145/1244408.1244410,United States,Conference Paper,Tempe,0,Conference Proceeding,2-s2.0-35548960057
Zhou Y.,,Community discovery and analysis in blogspace,2006,Proceedings of the 15th International Conference on World Wide Web,12,10.1145/1135777.1135993,Australia,Conference Paper,Sydney,0,Conference Proceeding,2-s2.0-34347266600
Chin A.,,A social hypertext model for finding community in blogs,2006,"Proceedings of the Seventeenth ACM Conference on Hypertext and Hypermedia, HT'06",65,10.1145/1149941.1149945,Canada,Conference Paper,Toronto,0,Conference Proceeding,2-s2.0-34247347836
Kolari P.,,SVMs for the Blogosphere: Blog identification and splog detection,2006,AAAI Spring Symposium - Technical Report,105,,United States,Conference Paper,Baltimore,0,Conference Proceeding,2-s2.0-33747174227
Gruhl D.,,The predictive power of online chatter,2005,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,248,10.1145/1081870.1081883,United States,Conference Paper,San Jose,0,Conference Proceeding,2-s2.0-32344449298
Coffman T.R.,,Dynamic classification of groups through social network analysis and HMMs,2004,IEEE Aerospace Conference Proceedings,39,10.1109/AERO.2004.1368125,United States,Conference Paper,Austin,0,Conference Proceeding,2-s2.0-11244303741
Kumar R.,,On the bursty evolution of blogspace,2003,"Proceedings of the 12th International Conference on World Wide Web, WWW 2003",273,10.1145/775152.775233,United States,Conference Paper,San Jose,0,Conference Proceeding,2-s2.0-84880488760
Kempe D.,,Maximizing the spread of influence through a social network,2003,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,4470,10.1145/956750.956769,United States,Conference Paper,Ithaca,0,Conference Proceeding,2-s2.0-33747172362
Richardson M.,,Mining knowledge-sharing sites for viral marketing,2002,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,1052,10.1145/775047.775057,United States,Conference Paper,Seattle,0,Conference Proceeding,2-s2.0-0242456823
Flake G.W.,,Efficient identification of web communities,2000,Proceeding of the Sixth ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,562,10.1145/347090.347121,United States,Conference Paper,Princeton,0,Conference Proceeding,2-s2.0-0034592749
Kleinberg J.,,Authoritative sources in a hyperlinked environment,1998,Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms,1269,,United States,Conference Paper,Ithaca,0,Conference Proceeding,2-s2.0-0032256758
