Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Chandra S.,,Estimating twitter user location using social interactions - A content based approach,2011,"Proceedings - 2011 IEEE International Conference on Privacy, Security, Risk and Trust and IEEE International Conference on Social Computing, PASSAT/SocialCom 2011",81,10.1109/PASSAT/SocialCom.2011.120,United States,Conference Paper,,0,Conference Proceeding,2-s2.0-84856148239
Yin Z.,,Geographical topic discovery and comparison,2011,"Proceedings of the 20th International Conference on World Wide Web, WWW 2011",239,10.1145/1963405.1963443,United States,Conference Paper,Urbana,0,Conference Proceeding,2-s2.0-80052686183
Yang S.H.,,Like like alike - Joint friendship and interest propagation in social networks,2011,"Proceedings of the 20th International Conference on World Wide Web, WWW 2011",285,10.1145/1963405.1963481,United States,Conference Paper,Atlanta,0,Conference Proceeding,2-s2.0-80052396145
Ahmed A.,,Scalable distributed inference of dynamic user interests for behavioral targeting,2011,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,131,10.1145/2020408.2020433,United States,Conference Paper,Pittsburgh,0,Conference Proceeding,2-s2.0-80052659792
Bakshy E.,,Everyone's an influencer: Quantifying influence on twitter,2011,"Proceedings of the 4th ACM International Conference on Web Search and Data Mining, WSDM 2011",1038,10.1145/1935826.1935845,United States,Conference Paper,Ann Arbor,0,Conference Proceeding,2-s2.0-79952397059
Cheng Z.,,You are where you tweet: A content-based approach to geo-locating Twitter users,2010,"International Conference on Information and Knowledge Management, Proceedings",682,10.1145/1871437.1871535,United States,Conference Paper,College Station,0,Conference Proceeding,2-s2.0-78651274362
Backstrom L.,,Find me if you can: Improving geographical prediction with social and spatial proximity,2010,"Proceedings of the 19th International Conference on World Wide Web, WWW '10",472,10.1145/1772690.1772698,,Conference Paper,,0,Conference Proceeding,2-s2.0-77954590940
Sizov S.,,GeoFolk: Latent spatial semantics in web 2.0 social media,2010,WSDM 2010 - Proceedings of the 3rd ACM International Conference on Web Search and Data Mining,104,10.1145/1718487.1718522,Germany,Conference Paper,Koblenz am Rhein,0,Conference Proceeding,2-s2.0-77950885442
Mislove A.,,You are who you know: Inferring user profiles in online social networks,2010,WSDM 2010 - Proceedings of the 3rd ACM International Conference on Web Search and Data Mining,457,10.1145/1718487.1718519,United States;United States;Germany,Conference Paper,Boston;Houston;Saarbrucken,0,Conference Proceeding,2-s2.0-77950886667
White R.,,Predicting user interests from contextual information,2009,"Proceedings - 32nd Annual International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 2009",151,10.1145/1571941.1572005,United States,Conference Paper,Redmond,0,Conference Proceeding,2-s2.0-72449196732
Crandall D.,,Mapping the world's photos,2009,WWW'09 - Proceedings of the 18th International World Wide Web Conference,601,10.1145/1526709.1526812,United States,Conference Paper,Ithaca,0,Conference Proceeding,2-s2.0-70849134869
Yin Z.,,Exploring social tagging graph for web object classification,2009,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,68,10.1145/1557019.1557123,United States,Conference Paper,Urbana,0,Conference Proceeding,2-s2.0-70350630697
Provost F.,,Audience selection for on-line brand advertising: Privacy-friendly social network targeting,2009,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,83,10.1145/1557019.1557098,United States,Conference Paper,New York,0,Conference Proceeding,2-s2.0-70350645569
Backstrom L.,,Spatial variation in search engine queries,2008,"Proceeding of the 17th International Conference on World Wide Web 2008, WWW'08",132,10.1145/1367497.1367546,United States,Conference Paper,Ithaca,0,Conference Proceeding,2-s2.0-57349121018
Xu S.,,Exploring folksonomy for personalized search,2008,"ACM SIGIR 2008 - 31st Annual International ACM SIGIR Conference on Research and Development in Information Retrieval, Proceedings",214,10.1145/1390334.1390363,China,Conference Paper,Shanghai,0,Conference Proceeding,2-s2.0-57349156621
Rattenbury T.,,Towards automatic extraction of event and place semantics from flickr tags,2007,"Proceedings of the 30th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR'07",383,10.1145/1277741.1277762,United States;United States,Article,Sunnyvale;Berkeley,0,Conference Proceeding,2-s2.0-36448986338
Qiu F.,,Automatic identification of user interest for personalized search,2006,Proceedings of the 15th International Conference on World Wide Web,278,10.1145/1135777.1135883,United States,Conference Paper,Los Angeles,0,Conference Proceeding,2-s2.0-34250689178
Amitay E.,,Web-a-where: Geotagging Web content,2004,Proceedings of Sheffield SIGIR - Twenty-Seventh Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,390,,Israel,Conference Paper,Haifa,0,Conference Proceeding,2-s2.0-8644265357
