Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Jiang F.,,Finite-time information consensus for multi-agent systems with fixed and switching topologies,2009,Physica D: Nonlinear Phenomena,137,10.1016/j.physd.2009.04.011,China,Article,Beijing,0,Journal,2-s2.0-67650082554
Hui Q.,,Distributed nonlinear control algorithms for network consensus,2008,Automatica,213,10.1016/j.automatica.2008.01.011,United States,Article,Atlanta,0,Journal,2-s2.0-50049099130
Liu X.,,Synchronization analysis for nonlinearly-coupled complex networks with an asymmetrical coupling matrix,2008,Physica A: Statistical Mechanics and its Applications,125,10.1016/j.physa.2008.03.005,China,Article,Beijing,0,Journal,2-s2.0-43049179992
Yu W.,,Synchronization of switched system and application in communication,2008,"Physics Letters, Section A: General, Atomic and Solid State Physics",33,10.1016/j.physleta.2008.04.030,Hong Kong;China,Article,Kowloon;Nanjing,0,Journal,2-s2.0-43849090976
Duan Z.,,Synchronization of weighted networks and complex synchronized regions,2008,"Physics Letters, Section A: General, Atomic and Solid State Physics",75,10.1016/j.physleta.2008.02.056,China,Article,Beijing,0,Journal,2-s2.0-42749089467
Cortés J.,,Distributed algorithms for reaching consensus on general functions,2008,Automatica,300,10.1016/j.automatica.2007.07.022,United States,Article,San Diego,0,Journal,2-s2.0-39549110199
Gazi V.,,Stability of an asynchronous swarm with time-dependent communication links,2008,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",56,10.1109/TSMCB.2007.910530,Turkey,Article,Ankara,0,Journal,2-s2.0-39649084197
Lu W.,,Synchronization of discrete-time dynamical networks with time-varying couplings,2007,SIAM Journal on Mathematical Analysis,71,10.1137/060657935,Germany;China,Article,Leipzig;Shanghai,0,Journal,2-s2.0-48249130441
Liu X.,,Exponential synchronization of nonlinear coupled dynamical networks with a delayed coupling,2007,Physica A: Statistical Mechanics and its Applications,86,10.1016/j.physa.2007.03.026,China,Article,Shanghai,0,Journal,2-s2.0-34249682074
Barbarossa S.,,Decentralized maximum-likelihood estimation for sensor networks composed of nonlinearly coupled dynamical systems,2007,IEEE Transactions on Signal Processing,110,10.1109/TSP.2007.893921,Italy,Article,Rome,0,Journal,2-s2.0-34347370852
Chen T.,,Pinning complex networks by a single controller,2007,IEEE Transactions on Circuits and Systems I: Regular Papers,779,10.1109/TCSI.2007.895383,China,Article,Shanghai,0,Journal,2-s2.0-34250825295
Wu W.,,Desynchronization of pulse-coupled oscillators with delayed excitatory coupling,2007,Nonlinearity,15,10.1088/0951-7715/20/3/011,China,Article,Shanghai,0,Journal,2-s2.0-33947673406
Chen T.,,Exponential synchronization of nonlinear coupled dynamical networks,2007,International Journal of Bifurcation and Chaos,29,10.1142/S0218127407017719,China,Article,Shanghai,0,Journal,2-s2.0-34249028514
Bauso D.,,Non-linear protocols for optimal distributed consensus in networks of dynamic agents,2006,Systems and Control Letters,197,10.1016/j.sysconle.2006.06.005,Italy,Article,Palermo,0,Journal,2-s2.0-33748420028
Lu W.,,Synchronization analysis of linearly coupled systems described by differential equations with a coupling delay,2006,Physica D: Nonlinear Phenomena,134,10.1016/j.physd.2006.07.020,Germany;China,Article,Leipzig;Shanghai,0,Journal,2-s2.0-33748311893
Nishikawa T.,,Synchronization is optimal in nondiagonalizable networks,2006,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",186,10.1103/PhysRevE.73.065106,United States,Article,Dallas,0,Journal,2-s2.0-33745521141
Olfati-Saber R.,,Flocking for multi-agent dynamic systems: Algorithms and theory,2006,IEEE Transactions on Automatic Control,3296,10.1109/TAC.2005.864190,United States,Article,Hanover,0,Journal,2-s2.0-33644997478
Zhou C.,,Universality in the synchronization of weighted random networks,2006,Physical Review Letters,281,10.1103/PhysRevLett.96.034101,Germany,Article,Potsdam,0,Journal,2-s2.0-32644462566
Lu W.,,New approach to synchronization analysis of linearly coupled ordinary differential systems,2006,Physica D: Nonlinear Phenomena,421,10.1016/j.physd.2005.11.009,Germany;China,Article,Leipzig;Shanghai,0,Journal,2-s2.0-30144443190
Restrepo J.,,Synchronization in large directed networks of coupled phase oscillators,2006,Chaos,75,10.1063/1.2148388,United States,Article,College Park,0,Journal,2-s2.0-33745149733
Nishikawa T.,,Maximum performance at minimum cost in network synchronization,2006,Physica D: Nonlinear Phenomena,119,10.1016/j.physd.2006.09.007,United States,Article,Dallas,0,Journal,2-s2.0-33750995849
Ren W.,,Consensus seeking in multiagent systems under dynamically changing interaction topologies,2005,IEEE Transactions on Automatic Control,4543,10.1109/TAC.2005.846556,United States,Article,College Park,0,Journal,2-s2.0-20344399896
Restrepo J.G.,,Onset of synchronization in large networks of coupled oscillators,2005,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",194,10.1103/PhysRevE.71.036151,United States,Article,College Park,0,Journal,2-s2.0-41349097039
Moreau L.,,Stability of multiagent systems with time-dependent communication links,2005,IEEE Transactions on Automatic Control,2061,10.1109/TAC.2004.841888,Belgium,Article,Ghent,0,Journal,2-s2.0-12944293796
Lu W.,,Synchronization of coupled connected neural networks with delays,2004,IEEE Transactions on Circuits and Systems I: Regular Papers,322,10.1109/TCSI.2004.838308,China,Article,Shanghai,0,Journal,2-s2.0-10944223518
Lu W.,,Synchronization analysis of linearly coupled networks of discrete time systems,2004,Physica D: Nonlinear Phenomena,116,10.1016/j.physd.2004.08.024,China,Article,Shanghai,0,Journal,2-s2.0-6444234243
Olfati-Saber R.,,Consensus problems in networks of agents with switching topology and time-delays,2004,IEEE Transactions on Automatic Control,8298,10.1109/TAC.2004.834113,United States,Article,Pasadena,0,Journal,2-s2.0-4644244041
Jadbabaie A.,,Coordination of groups of mobile autonomous agents using nearest neighbor rules,2003,IEEE Transactions on Automatic Control,6057,10.1109/TAC.2003.812781,United States;United States,Article,Philadelphia;New Haven,0,Journal,2-s2.0-0038548185
Pecora L.,,Master stability functions for synchronized coupled systems,1998,Physical Review Letters,1764,10.1103/PhysRevLett.80.2109,United States,Article,"Washington, D.C.",0,Journal,2-s2.0-4243241129
Vicsek T.,,Novel type of phase transition in a system of self-driven particles,1995,Physical Review Letters,4164,10.1103/PhysRevLett.75.1226,Hungary;Hungary,Article,Budapest;Budapest,0,Journal,2-s2.0-0001730998
