Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Castellano C.,,Statistical physics of social dynamics,2009,Reviews of Modern Physics,2176,10.1103/RevModPhys.81.591,Italy,Article,Rome,0,Journal,2-s2.0-65549108449
Sobkowicz P.,,Modelling opinion formation with physics tools: Call for closer link with reality,2009,JASSS,71,,,Article,,0,Journal,2-s2.0-62549164249
Couzin I.,,Collective cognition in animal groups,2009,Trends in Cognitive Sciences,474,10.1016/j.tics.2008.10.002,United States,Review,Princeton,0,Journal,2-s2.0-58149127238
Alaali A.,,Vector opinion dynamics: An extended model for consensus in social networks,2008,"Proceedings - 2008 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology - Workshops, WI-IAT Workshops 2008",12,10.1109/WIIAT.2008.377,New Zealand,Conference Paper,Dunedin,0,Conference Proceeding,2-s2.0-63149107647
Huang G.,,The strength of the minority,2008,Physica A: Statistical Mechanics and its Applications,20,10.1016/j.physa.2008.03.033,China,Article,Nanjing,0,Journal,2-s2.0-44149098001
Lorenz J.,,Continuous opinion dynamics under bounded confidence: A survey,2007,International Journal of Modern Physics C,355,10.1142/S0129183107011789,Switzerland;Germany,Article,"Zurich ZH,;Bremen",0,Journal,2-s2.0-39649097134
Valente T.W.,,Identifying opinion leaders to promote behavior change,2007,Health Education and Behavior,344,10.1177/1090198106297855,United States,Article,Los Angeles,0,Journal,2-s2.0-36249031876
Halloy J.,,Social integration of robots into groups of cockroaches to control self-organized choices,2007,Science,336,10.1126/science.1144259,Belgium,Article,Brussels,0,Journal,2-s2.0-36249017307
Di Mare A.,,Opinion formation models based on game theory,2007,International Journal of Modern Physics C,54,10.1142/S012918310701139X,Italy,Article,Catania,0,Journal,2-s2.0-35448968952
Borgatti S.P.,,Identifying sets of key players in a social network,2006,Computational and Mathematical Organization Theory,579,10.1007/s10588-006-7084-x,United States,Article,Chestnut Hill,0,Journal,2-s2.0-33646385629
Boccaletti S.,,Complex networks: Structure and dynamics,2006,Physics Reports,6607,10.1016/j.physrep.2005.10.009,Italy,Review,Sesto Fiorentino,0,Journal,2-s2.0-31344474880
Leskovec J.,,The dynamics of viral marketing,2006,Proceedings of the ACM Conference on Electronic Commerce,240,10.1145/1134707.1134732,United States;United States,Conference Paper,Pittsburgh;Palo Alto,0,Conference Proceeding,2-s2.0-33748712430
Amblard F.,,The role of network topology on extremism propagation with the relative agreement opinion dynamics,2004,Physica A: Statistical Mechanics and its Applications,136,10.1016/j.physa.2004.06.102,France,Article,Paris,0,Journal,2-s2.0-4544303452
Krapivsky P.,,Dynamics of majority rule in two-state interacting spin systems,2003,Physical Review Letters,302,,United States,Article,Boston,0,Journal,2-s2.0-0041309835
Hegselmann R.,,"Opinion dynamics and bounded confidence: Models, analysis and simulation",2002,JASSS,1437,,,Article,,0,Journal,2-s2.0-0011697225
Burger J.,,The foot-in-the-door compliance procedure: A multiple-process analysis and review,1999,Personality and Social Psychology Review,228,10.1207/s15327957pspr0304_2,United States,Review,Santa Clara,0,Journal,2-s2.0-0033270818
Valente T.,,Accelerating the Diffusion of Innovations Using Opinion Leaders,1999,The Annals of the American Academy of Political and Social Science,357,10.1177/000271629956600105,United States,Article,Baltimore,0,Journal,2-s2.0-0033413057
Watts D.J.,,Collective dynamics of 'small-world9 networks,1998,Nature,25792,10.1038/30918,United States,Article,Ithaca,0,Journal,2-s2.0-0032482432
Axelrod R.,,The dissemination of culture: A model with local convergence and global polarization,1997,Journal of Conflict Resolution,1085,10.1177/0022002797041002001,United States,Article,Ann Arbor,0,Journal,2-s2.0-21744459955
Lewenstein M.,,Statistical mechanics of social impact,1992,Physical Review A,154,10.1103/PhysRevA.45.763,United States,Article,Boca Raton,0,Journal,2-s2.0-35949006390
Latané B.,,The psychology of social impact,1981,American Psychologist,1455,10.1037/0003-066X.36.4.343,United States,Article,Columbus,0,Journal,2-s2.0-0000337762
