Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Cao J., Bu Z., Wang Y., Yang H., Jiang J., Li H.-J.",57209867982;54789425900;57208825564;57210108487;24344212500;36682474500;,Detecting Prosumer-Community Groups in Smart Grids from the Multiagent Perspective,2019,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",57,10.1109/TSMC.2019.2899366,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065875041&doi=10.1109%2fTSMC.2019.2899366&partnerID=40&md5=ace92752b9966143b679c3c792619759,Review,Final,0,Scopus,2-s2.0-85065875041
"Li H.-J., Wang L.",36682474500;57033052400;,Multi-scale asynchronous belief percolation model on multiplex networks,2019,New Journal of Physics,39,10.1088/1367-2630/aaf775,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061963406&doi=10.1088%2f1367-2630%2faaf775&partnerID=40&md5=d1fb7b4146eff4255ee92db10bffb4ff,Article,Final,1,Scopus,2-s2.0-85061963406
"Bu Z., Li H.-J., Cao J., Wang Z., Gao G.",54789425900;36682474500;57209867982;57192377511;56493842700;,Dynamic cluster formation game for attributed graph clustering,2019,IEEE Transactions on Cybernetics,56,10.1109/TCYB.2017.2772880,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037615303&doi=10.1109%2fTCYB.2017.2772880&partnerID=40&md5=77a1fcefe520d361b5fcbd0b1d2a4972,Article,Final,0,Scopus,2-s2.0-85037615303
"Xiang J., Li H.-J., Bu Z., Wang Z., Bao M.-H., Tang L., Li J.-M.",55228673000;36682474500;54789425900;57192377511;35108716000;56562211400;55255766800;,Critical analysis of (Quasi-)Surprise for community detection in complex networks,2018,Scientific Reports,7,10.1038/s41598-018-32582-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054050844&doi=10.1038%2fs41598-018-32582-0&partnerID=40&md5=5d242c71462822ae371ce4b3a0413245,Article,Final,1,Scopus,2-s2.0-85054050844
"Bu Z., Cao J., Li H.-J., Gao G., Tao H.",54789425900;57209867982;36682474500;56493842700;55827133000;,GLEAM: a graph clustering framework based on potential game optimization for large-scale social networks,2018,Knowledge and Information Systems,36,10.1007/s10115-017-1105-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029796039&doi=10.1007%2fs10115-017-1105-6&partnerID=40&md5=81cd09339d417959406b9b35edb3e84b,Article,Final,0,Scopus,2-s2.0-85029796039
"Li H.-J., Bu Z., Wang Z., Cao J., Shi Y.",36682474500;54789425900;57192377511;57209867982;7404963015;,Enhance the Performance of Network Computation by a Tunable Weighting Strategy,2018,IEEE Transactions on Emerging Topics in Computational Intelligence,65,10.1109/TETCI.2018.2829906,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049444422&doi=10.1109%2fTETCI.2018.2829906&partnerID=40&md5=f0090b14df71d1b0157d59862485d0db,Article,Final,0,Scopus,2-s2.0-85049444422
"Gao G., Cao J., Bu Z., Li H.-J., Wu Z.",56493842700;57209867982;54789425900;36682474500;12762140000;,A generalized game theoretic framework for mining communities in complex networks,2018,Expert Systems with Applications,8,10.1016/j.eswa.2017.10.058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033561957&doi=10.1016%2fj.eswa.2017.10.058&partnerID=40&md5=e5b9053d808227b4afc4d3f0606e94c2,Article,Final,0,Scopus,2-s2.0-85033561957
"Xiang J., Tang Y.-N., Gao Y.-Y., Liu L., Hao Y., Li J.-M., Zhang Y., Chen S.",55228673000;56582959200;56582903200;57196456068;57196074224;55255766800;56523421800;57192607540;,Phase transition of Surprise optimization in community detection,2018,Physica A: Statistical Mechanics and its Applications,6,10.1016/j.physa.2017.09.090,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031759301&doi=10.1016%2fj.physa.2017.09.090&partnerID=40&md5=cdd5d2a805bc9b317f4091d5a6443bb9,Article,Final,0,Scopus,2-s2.0-85031759301
"Li X., Jusup M., Wang Z., Li H., Shi L., Podobnik B., Eugene Stanley H., Havlin S., Boccaletti S.",55936260100;15136099300;57192377511;36682474500;56589311400;7004220065;35375959000;35397372900;7006291912;,Punishment diminishes the benefits of network reciprocity in social dilemma experiments,2018,Proceedings of the National Academy of Sciences of the United States of America,139,10.1073/pnas.1707505115,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040198677&doi=10.1073%2fpnas.1707505115&partnerID=40&md5=e87e5c8ff9084ca6a27a6c72a7160fec,Article,Final,1,Scopus,2-s2.0-85040198677
"Shang R., Liu H., Jiao L., Esfahani A.M.G.",15030217300;56816142000;7102491544;57200911453;,Community mining using three closely joint techniques based on community mutual membership and refinement strategy,2017,Applied Soft Computing Journal,16,10.1016/j.asoc.2017.08.050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029836559&doi=10.1016%2fj.asoc.2017.08.050&partnerID=40&md5=fcca771e9fe3dcaded2e9df3cd5aeb20,Article,Final,0,Scopus,2-s2.0-85029836559
