Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Cramer W.A.,,Transmembrane traffic in the cytochrome b<inf>6</inf>f complex,2006,Annual Review of Biochemistry,115,10.1146/annurev.biochem.75.103004.142756,United States,Review,West Lafayette,0,Book Series,2-s2.0-33746371014
Munshi M.,,Chlororespiratory reduction 6: Is a novel factor required for accumulation of the chloroplast NAD(P)H dehydrogenase complex in Arabidopsis,2006,Plant Physiology,41,10.1104/pp.106.080267,Japan,Article,Fukuoka,1,Journal,2-s2.0-33745678982
Wang P.,,Chloroplastic NAD(P)H dehydrogenase in tobacco leaves functions in alleviation of oxidative damage caused by temperature stress,2006,Plant Physiology,170,10.1104/pp.105.070490,China,Article,Shanghai,1,Journal,2-s2.0-33745668217
Asada K.,,Production and scavenging of reactive oxygen species in chloroplasts and their functions,2006,Plant Physiology,1503,10.1104/pp.106.082040,Japan,Review,Fukuyama,1,Journal,2-s2.0-33745662408
Kamruzzaman Munshi M.,,"Identification of a novel protein, CRR7, required for the stabilization of the chloroplast NAD(P)H dehydrogenase complex in Arabidopsis",2005,Plant Journal,42,10.1111/j.1365-313X.2005.02604.x,Japan,Article,Fukuoka,1,Journal,2-s2.0-33644878578
Okutani S.,,"Three maize leaf ferredoxin:NADPH oxidoreductases vary in subchloroplast location, expression, and interaction with ferredoxin",2005,Plant Physiology,47,10.1104/pp.105.070813,Japan,Article,Suita,1,Journal,2-s2.0-33644836833
Merchant S.,,The light reactions: A guide to recent acquisitions for the picture gallery,2005,Plant Cell,60,10.1105/tpc.105.030676,United States,Review,Los Angeles,1,Journal,2-s2.0-27244455478
Takabayashi A.,,Differential use of two cyclic flows around photosystem I for driving CO<inf>2</inf>-concentration mechanism in C<inf>4</inf> photosynthesis,2005,Proceedings of the National Academy of Sciences of the United States of America,103,10.1073/pnas.0507095102,Japan,Article,Kyoto,1,Journal,2-s2.0-28044470077
Munné-Bosch S.,,Enhanced ferredoxin-dependent cyclic electron flow around photosystem I and α-tocopherol quinone accumulation in water-stressed ndhB-inactivated tobacco mutants,2005,Planta,57,10.1007/s00425-005-1548-y,Spain,Article,Barcelona,0,Journal,2-s2.0-26644474102
Havaux M.,,Probing the FQR and NDH activities involved in cyclic electron transport around Photosystem I by the 'afterglow' luminescence,2005,Biochimica et Biophysica Acta - Bioenergetics,41,10.1016/j.bbabio.2005.07.010,France,Article,Saint Paul lez Durance,1,Journal,2-s2.0-24344455067
Zhang P.,,"Isolation, subunit composition and interaction of the NDH-1 complexes from Thermosynechococcus elongatus BP-1",2005,Biochemical Journal,66,10.1042/BJ20050390,Finland,Article,Turku,0,Journal,2-s2.0-25144481313
Huang L.S.,,Binding of the respiratory chain inhibitor antimycin to the mitochondrial bc<inf>1</inf> complex: A new crystal structure reveals an altered intramolecular hydrogen-bonding pattern,2005,Journal of Molecular Biology,184,10.1016/j.jmb.2005.05.053,United States,Article,Berkeley,0,Journal,2-s2.0-22544467474
Okegawa Y.,,The pgr1 mutation in the Rieske subunit of the cytochrome b<inf>6</inf>f complex does not affect PGR5-dependent cyclic electron transport around photosystem I,2005,Journal of Biological Chemistry,16,10.1074/jbc.M505703200,Japan,Article,Fukuoka,1,Journal,2-s2.0-23344443806
Mus F.,,Inhibitor studies on non-photochemical plastoquinone reduction and H <inf>2</inf> photoproduction in Chlamydomonas reinhardtii,2005,Biochimica et Biophysica Acta - Bioenergetics,99,10.1016/j.bbabio.2005.05.003,France,Article,Saint Paul lez Durance,1,Journal,2-s2.0-21744446408
Avenson T.J.,,Regulating the proton budget of higher plant photosynthesis,2005,Proceedings of the National Academy of Sciences of the United States of America,169,10.1073/pnas.0503952102,United States,Article,Pullman,1,Journal,2-s2.0-22144452142
Laisk A.,,Control of cytochrome b<inf>6</inf>f at low and high light intensity and cyclic electron transport in leaves,2005,Biochimica et Biophysica Acta - Bioenergetics,38,10.1016/j.bbabio.2005.01.007,Estonia;Estonia,Article,Tartu;Tartu,1,Journal,2-s2.0-22244491663
Endo T.,,Stromal over-reduction by high-light stress as measured by decreases in P700 oxidation by far-red light and its physiological relevance,2005,Plant and Cell Physiology,23,10.1093/pcp/pci084,Japan,Article,Kyoto,1,Journal,2-s2.0-20444368455
Joliot P.,,Quantification of cyclic and linear flows in plants,2005,Proceedings of the National Academy of Sciences of the United States of America,120,10.1073/pnas.0501268102,France,Article,Paris,1,Journal,2-s2.0-16344362649
Battchikova N.,,Identification of NdHL and Ssl1690 (NdhO) in NDH-1L and NDH-1M complexes of Synechocystis sp. PCC 6803,2005,Journal of Biological Chemistry,75,10.1074/jbc.M410914200,Finland,Article,Turku,1,Journal,2-s2.0-13244281728
Kotera E.,,A pentatricopeptide repeat protein is essential for RNA editing in chloroplasts,2005,Nature,396,10.1038/nature03229,Japan,Article,Ikoma,0,Journal,2-s2.0-12744253474
Munekage Y.,,Cyclic electron transport through photosystem I,2005,Plant Biotechnology,38,10.5511/plantbiotechnology.22.361,Japan;France,Review,Ikoma;Saint Paul lez Durance,1,Journal,2-s2.0-30344467805
Johnson G.,,Cyclic electron transport in C<inf>3</inf> plants: Fact or artefact?,2005,Journal of Experimental Botany,129,10.1093/jxb/eri106,United Kingdom,Conference Paper,Manchester,1,Journal,2-s2.0-13944272295
Rumeau D.,,"New Subunits NDH-M, -N, and -O, encoded by nuclear genes, are essential for plastid Ndh complex functioning in higher plants",2005,Plant Cell,145,10.1105/tpc.104.028282,France,Article,Saint Paul lez Durance,1,Journal,2-s2.0-18844447930
Niyogi K.,,Is PsbS the site of non-photochemical quenching in photosynthesis?,2005,Journal of Experimental Botany,237,10.1093/jxb/eri056,United States,Conference Paper,Berkeley,1,Journal,2-s2.0-13944258526
Zhang H.,,Characterization of the high-spin heme x in the cytochrome b<inf>6</inf>f complex of oxygenic photosynthesis,2004,Biochemistry,34,10.1021/bi048363p,United States,Article,West Lafayette,0,Journal,2-s2.0-11144260156
Zhang P.,,Expression and functional roles of the two distinct NDH-1 complexes and the carbon acquisition complex NdhD3/NdhF3/CupA/SII1735 in Synechocystis sp PCC 6803,2004,Plant Cell,168,10.1105/tpc.104.026526,Finland,Article,Turku,1,Journal,2-s2.0-18844436373
Prommeenate P.,,Subunit composition of NDH-1 complexes of Synechocystis sp. PCC 6803. Identification of two new ndh gene products with nuclear-encoded homologues in the chloroplast Ndh complex,2004,Journal of Biological Chemistry,94,10.1074/jbc.M401107200,United Kingdom,Article,London,1,Journal,2-s2.0-3142653751
Munekage Y.,,Cyclic electron flow around photosystem I is essential for photosynthesis,2004,Nature,571,10.1038/nature02598,Japan;Japan;France,Article,Ikoma;Kizugawa;Saint Paul lez Durance,0,Journal,2-s2.0-2942537759
