Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Jin D.,,A Computational Approach to Identifying Gene-microRNA Modules in Cancer,2015,PLoS Computational Biology,24,10.1371/journal.pcbi.1004042,South Korea,Article,Gwangju,1,Journal,2-s2.0-84922216394
Hofree M.,,Network-based stratification of tumor mutations,2013,Nature Methods,411,10.1038/nmeth.2651,United States,Article,San Diego,1,Journal,2-s2.0-84887084951
Mankad S.,,Structural and functional discovery in dynamic networks with non-negative matrix factorization,2013,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",28,10.1103/PhysRevE.88.042812,United States,Article,Ann Arbor,0,Journal,2-s2.0-84886706287
Lock E.,,Bayesian consensus clustering,2013,Bioinformatics,84,10.1093/bioinformatics/btt425,United States;United States,Article,Durham;Durham,1,Journal,2-s2.0-84885617335
Roy S.,,Integrated Module and Gene-Specific Regulatory Inference Implicates Upstream Signaling Networks,2013,PLoS Computational Biology,30,10.1371/journal.pcbi.1003252,United States,Article,Madison,1,Journal,2-s2.0-84887283985
Srihari S.,,Systematic tracking of dysregulated modules identifies novel genes in cancer,2013,Bioinformatics,47,10.1093/bioinformatics/btt191,Australia,Article,Brisbane,1,Journal,2-s2.0-84878889746
Mo Q.,,Pattern discovery and cancer gene identification in integrated cancer genomic data,2013,Proceedings of the National Academy of Sciences of the United States of America,163,10.1073/pnas.1208949110,United States;United States,Article,New York;Houston,1,Journal,2-s2.0-84875016233
Lock E.,,Joint and individual variation explained (JIVE) for integrated analysis of multiple data types,2013,Annals of Applied Statistics,139,10.1214/12-AOAS597,United States,Article,Chapel Hill,1,Journal,2-s2.0-84876058478
Verhaak R.G.W.,,Prognostically relevant gene signatures of high-grade serous ovarian carcinoma,2013,Journal of Clinical Investigation,310,10.1172/JCI65833,United States,Article,Houston,1,Journal,2-s2.0-84873862912
Li W.,,Identifying multi-layer gene regulatory modules from multi-dimensional genomic data,2012,Bioinformatics,72,10.1093/bioinformatics/bts476,United States,Article,Los Angeles,1,Journal,2-s2.0-84867283138
Zhang S.,,Discovery of multi-dimensional modules by integrative analysis of cancer genomic data,2012,Nucleic Acids Research,153,10.1093/nar/gks725,United States;China,Article,Los Angeles;Beijing,1,Journal,2-s2.0-84868152524
Jauhiainen A.,,Transcriptional and metabolic data integration and modeling for identification of active pathways,2012,Biostatistics,10,10.1093/biostatistics/kxs016,Sweden,Article,Stockholm,1,Journal,2-s2.0-84866418066
Creighton C.J.,,Integrated analyses of microRNAs demonstrate their widespread influence on gene expression in high-grade serous ovarian carcinoma,2012,PLoS ONE,87,10.1371/journal.pone.0034546,United States,Article,Houston,1,Journal,2-s2.0-84859090208
Khatri P.,,Ten years of pathway analysis: Current approaches and outstanding challenges,2012,PLoS Computational Biology,800,10.1371/journal.pcbi.1002375,United States;United States,Review,Stanford;Palo Alto,1,Journal,2-s2.0-84861123691
Stingo F.,,Incorporating biological information into linear models: A Bayesian approach to the selection of pathways and genes,2011,Annals of Applied Statistics,84,10.1214/11-AOAS463,United States,Article,Houston,1,Journal,2-s2.0-80053590625
Zhang S.,,A novel computational framework for simultaneous integration of multiple types of genomic data to identify microrna-gene regulatory modules,2011,Bioinformatics,151,10.1093/bioinformatics/btr206,United States;China,Article,Los Angeles;Beijing,1,Journal,2-s2.0-79959448071
Bell D.,,Integrated genomic analyses of ovarian carcinoma,2011,Nature,4059,10.1038/nature10166,United States,Article,Rochester,1,Journal,2-s2.0-79959838081
Jörnsten R.,,Network modeling of the transcriptional effects of copy number aberrations in glioblastoma,2011,Molecular Systems Biology,66,10.1038/msb.2011.17,Sweden,Article,Gothenburg,1,Journal,2-s2.0-79955562657
Gehlenborg N.,,Visualization of omics data for systems biology,2010,Nature Methods,404,10.1038/nmeth.1436,United Kingdom;United Kingdom,Review,Cambridge;Cambridge,0,Journal,2-s2.0-77649252269
Witten D.,,Extensions of sparse canonical correlation analysis with applications to genomic data,2009,Statistical Applications in Genetics and Molecular Biology,215,10.2202/1544-6115.1470,United States,Article,Palo Alto,0,Journal,2-s2.0-68249115586
Chalhoub N.,,PTEN and the PI3-kinase pathway in cancer,2009,Annual Review of Pathology: Mechanisms of Disease,711,10.1146/annurev.pathol.4.110807.092311,United States,Review,"Memphis TN,",0,Book Series,2-s2.0-66149141021
Devarajan K.,,Nonnegative matrix factorization: An analytical and interpretive tool in computational biology,2008,PLoS Computational Biology,208,10.1371/journal.pcbi.1000029,United States,Review,Philadelphia,1,Journal,2-s2.0-48249151183
Li C.,,Network-constrained regularization and variable selection for analysis of genomic data,2008,Bioinformatics,328,10.1093/bioinformatics/btn081,United States,Article,Philadelphia,1,Journal,2-s2.0-42649140560
Lin C.,,On the convergence of multiplicative update algorithms for nonnegative matrix factorization,2007,IEEE Transactions on Neural Networks,258,10.1109/TNN.2007.895831,Taiwan,Article,Taipei,0,Journal,2-s2.0-36348966695
Berry M.,,Algorithms and applications for approximate nonnegative matrix factorization,2007,Computational Statistics and Data Analysis,875,10.1016/j.csda.2006.11.006,United States,Article,Knoxville,0,Journal,2-s2.0-34547198396
Kim H.,,Sparse non-negative matrix factorizations via alternating non-negativity-constrained least squares for microarray data analysis,2007,Bioinformatics,464,10.1093/bioinformatics/btm134,United States,Article,Atlanta,1,Journal,2-s2.0-34547844077
Tamayo P.,,"Metagene projection for cross-platform, cross-species characterization of global transcriptional states",2007,Proceedings of the National Academy of Sciences of the United States of America,95,10.1073/pnas.0701068104,United States,Article,Cambridge,1,Journal,2-s2.0-34347219009
Cline M.S.,,Integration of biological networks and gene expression data using cytoscape,2007,Nature Protocols,1546,10.1038/nprot.2007.324,United States;France,Article,Santa Cruz;Paris,0,Journal,2-s2.0-38449101120
Giacinti C.,,RB and cell cycle progression,2006,Oncogene,628,10.1038/sj.onc.1209615,United States;Italy,Review,Philadelphia;Siena,1,Journal,2-s2.0-33748047128
Houtgraaf J.,,A concise review of DNA damage checkpoints and repair in mammalian cells,2006,Cardiovascular Revascularization Medicine,197,10.1016/j.carrev.2006.02.002,Netherlands,Article,Rotterdam,0,Journal,2-s2.0-33747892114
Dhillon I.,,Generalized nonnegative matrix approximations with Bregman divergences,2005,Advances in Neural Information Processing Systems,241,,United States,Conference Paper,Austin,0,Conference Proceeding,2-s2.0-84864031935
Gao Y.,,Improving molecular cancer class discovery through sparse non-negative matrix factorization,2005,Bioinformatics,218,10.1093/bioinformatics/bti653,United States,Article,Boston,1,Journal,2-s2.0-27744601822
Banerjee A.,,Clustering with Bregman divergences,2005,Journal of Machine Learning Research,798,,United States,Article,Austin,0,Journal,2-s2.0-26244461684
Yoshida K.,,"Role of BRCA1 and BRCA2 as regulators of DNA repair, transcription, and cell cycle in response to DNA damage",2004,Cancer Science,325,10.1111/j.1349-7006.2004.tb02195.x,Japan,Review,Tokyo,1,Journal,2-s2.0-11044222422
Brunet J.,,Metagenes and molecular pattern discovery using matrix factorization,2004,Proceedings of the National Academy of Sciences of the United States of America,993,10.1073/pnas.0308531101,United States,Article,Cambridge,1,Journal,2-s2.0-1642529511
Yamada K.M.,,"Tumor suppressor PTEN: Modulator of cell signaling, growth, migration and apoptosis",2001,Journal of Cell Science,396,,United States,Article,Bethesda,0,Journal,2-s2.0-0034921007
Lee D.,,Algorithms for non-negative matrix factorization,2001,Advances in Neural Information Processing Systems,4037,,United States,Conference Paper,Murray,0,Conference Proceeding,2-s2.0-84898964201
Lee D.,,Learning the parts of objects by non-negative matrix factorization,1999,Nature,7530,10.1038/44565,United States,Article,Murray,0,Journal,2-s2.0-0033592606
