Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Yanai I.,,Genes linked by fusion events are generally of the same functional category: A systematic analysis of 30 microbial genomes,2001,Proceedings of the National Academy of Sciences of the United States of America,113,10.1073/pnas.141236298,United States,Article,Boston,1,Journal,2-s2.0-0034940467
Benner S.,,"Evolution, language and analogy in functional genomics",2001,Trends in Genetics,21,10.1016/S0168-9525(01)02320-4,United States,Review,Gainesville,0,Journal,2-s2.0-0035399575
Wolf Y.,,"Genome alignment, evolution of prokaryotic genome organization, and prediction of gene function using genomic context",2001,Genome Research,244,10.1101/gr.GR-1619R,United States,Article,Bethesda,1,Journal,2-s2.0-0035085816
Ito T.,,A comprehensive two-hybrid analysis to explore the yeast protein interactome,2001,Proceedings of the National Academy of Sciences of the United States of America,2800,10.1073/pnas.061034498,Japan,Article,Kanazawa,1,Journal,2-s2.0-0035836765
Thomas N.,,The archaeal flagellum: A different kind of prokaryotic motility structure,2001,FEMS Microbiology Reviews,98,10.1016/S0168-6445(00)00061-9,Canada,Review,Kingston,1,Journal,2-s2.0-0035105745
Olson J.,,Requirement of nickel metabolism proteins HypA and HypB for full activity of both hydrogenase and urease in Helicobacter pylori,2001,Molecular Microbiology,177,10.1046/j.1365-2958.2001.02244.x,United States,Article,Athens,1,Journal,2-s2.0-0035191007
Lappe M.,,Generating protein interaction maps from incomplete data: Application to fold assignment,2001,Bioinformatics,25,10.1093/bioinformatics/17.suppl_1.S149,United Kingdom,Article,Cambridge,1,Journal,2-s2.0-0035232248
Apweiler R.,,Proteome analysis database: Online application of InterPro and CluSTr for the functional classification of proteins in whole genomes,2001,Nucleic Acids Research,77,10.1093/nar/29.1.44,United Kingdom,Article,London,1,Journal,2-s2.0-0035175625
Wuchty S.,,Scale-free behavior in protein domain networks,2001,Molecular Biology and Evolution,197,10.1093/oxfordjournals.molbev.a003957,Germany,Article,Heidelberg,1,Journal,2-s2.0-0034887573
Wagner A.,,The yeast protein interaction network evolves rapidly and contains few redundant duplicate genes,2001,Molecular Biology and Evolution,402,10.1093/oxfordjournals.molbev.a003913,United States,Article,Albuquerque,1,Journal,2-s2.0-0034943378
Tatusov R.L.,,The COG database: New developments in phylogenetic classification of proteins from complete genomes,2001,Nucleic Acids Research,1417,10.1093/nar/29.1.22,United States,Article,Bethesda,1,Journal,2-s2.0-0035162592
Schwikowski B.,,A network of protein-protein interactions in yeast,2000,Nature Biotechnology,987,10.1038/82360,United States;United States,Article,Seattle;Seattle,0,Journal,2-s2.0-0033669189
McGuire A.,,Predicting regulons and their cis-regulatory motifs by comparative genomics,2000,Nucleic Acids Research,57,,United States,Article,Boston,0,Journal,2-s2.0-0034669669
Jeong H.,,The large-scale organization of metabolic networks,2000,Nature,3529,10.1038/35036627,United States,Article,Notre Dame,0,Journal,2-s2.0-0034609791
Lathe W.,,Gene context conservation of a higher order than operons,2000,Trends in Biochemical Sciences,154,10.1016/S0968-0004(00)01663-7,Germany;Germany,Note,Berlin;Heidelberg,0,Journal,2-s2.0-0034306448
