Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Brillinger D.,,Comment,1991,Journal of the American Statistical Association,9,10.1080/01621459.1991.10475038,United States,Note,Berkeley,0,Journal,2-s2.0-84950447606
Cook R.D.,,Comment,1991,Journal of the American Statistical Association,383,10.1080/01621459.1991.10475036,United States,Note,Minneapolis,0,Journal,2-s2.0-84881499895
Li K.,,Sliced inverse regression for dimension reduction,1991,Journal of the American Statistical Association,1149,10.1080/01621459.1991.10475035,United States,Article,Los Angeles,0,Journal,2-s2.0-84945116550
Cook R.D.,,Regression diagnostics with dynamic graphics,1989,Technometrics,38,10.1080/00401706.1989.10488547,United States,Article,Minneapolis,0,Journal,2-s2.0-84952537654
Härdle W.,,Investigating smooth multiple regression by the method of average derivatives,1989,Journal of the American Statistical Association,398,10.1080/01621459.1989.10478863,Germany,Article,Bonn,0,Journal,2-s2.0-0002470428
Loh W.,,Tree-structured classification via generalized discriminant analysis,1988,Journal of the American Statistical Association,188,10.1080/01621459.1988.10478652,United States,Article,Madison,0,Journal,2-s2.0-84950459261
Friedman J.,,Exploratory projection pursuit,1987,Journal of the American Statistical Association,530,10.1080/01621459.1987.10478427,United States;United States,Article,Menlo Park;Palo Alto,0,Journal,2-s2.0-84950754164
Rice J.,,Convergence rates for partially splined models,1986,Statistics and Probability Letters,190,10.1016/0167-7152(86)90067-2,United States,Article,San Diego,0,Journal,2-s2.0-0000196746
Hastie T.,,Generalized additive models,1986,Statistical Science,1355,10.1214/ss/1177013604,United States,Article,Murray,1,Journal,2-s2.0-84972488102
Li G.,,Projection-pursuit approach to robust dispersion matrices and principal components: Primary theory and Monte Carlo,1985,Journal of the American Statistical Association,194,10.1080/01621459.1985.10478181,China,Article,Beijing,0,Journal,2-s2.0-0001337027
Breiman L.,,Estimating optimal transformations for multiple regression and correlation,1985,Journal of the American Statistical Association,1025,10.1080/01621459.1985.10478157,United States,Article,Berkeley,0,Journal,2-s2.0-84950771789
Friedman J.,,Projection pursuit regression,1981,Journal of the American Statistical Association,1233,10.1080/01621459.1981.10477729,United States,Article,Menlo Park,0,Journal,2-s2.0-84950941772
Brillinger D.,,The identification of a particular nonlinear time series system,1977,Biometrika,109,10.1093/biomet/64.3.509,United States,Article,Berkeley,0,Journal,2-s2.0-0017699409
