Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Barron A.,,Universal approximation bounds for superpositions of a sigmoidal function,1993,IEEE Transactions on Information Theory,1330,10.1109/18.256500,United States,Article,New Haven,0,Journal,2-s2.0-0027599793
Haussler D.,,Decision theoretic generalizations of the PAC model for neural net and other learning applications,1992,Information and Computation,452,10.1016/0890-5401(92)90010-D,United States,Article,Santa Cruz,1,Journal,2-s2.0-0002192516
Lin J.,,Complexity Results on Learning by Neural Nets,1991,Machine Learning,60,10.1023/A:1022657626762,United States,Article,Providence,1,Journal,2-s2.0-0026152917
White H.,,Connectionist nonparametric regression: Multilayer feedforward networks can learn arbitrary mappings,1990,Neural Networks,393,10.1016/0893-6080(90)90004-5,United States,Article,San Diego,0,Journal,2-s2.0-0025635525
Cybenko G.,,Approximation by superpositions of a sigmoidal function,1989,"Mathematics of Control, Signals, and Systems",6637,10.1007/BF02551274,United States,Article,Urbana,0,Journal,2-s2.0-0024861871
Brady M.,,Back Propagation Fails to Separate Where Perceptrons Succeed,1989,IEEE Transactions on Circuits and Systems,44,10.1109/31.31314,United States,Article,Bethesda,0,Journal,2-s2.0-34250800205
Devroye L.,,An equivalence theorem for L<inf>1</inf> convergence of the kernel regression estimate,1989,Journal of Statistical Planning and Inference,78,10.1016/0378-3758(89)90040-2,Canada,Article,Montreal,0,Journal,2-s2.0-34748837624
Hornik K.,,Multilayer feedforward networks are universal approximators,1989,Neural Networks,10518,10.1016/0893-6080(89)90020-8,Austria,Article,Vienna,0,Journal,2-s2.0-0024880831
Blum A.,,Training a 3-node neural network is NP-complete,1988,"Proceedings of the 1st Annual Workshop on Computational Learning Theory, COLT 1988",74,,,Conference Paper,,0,Conference Proceeding,2-s2.0-85051131411
Judd S.,,On the complexity of loading shallow neural networks,1988,Journal of Complexity,61,10.1016/0885-064X(88)90019-2,United States,Article,Amherst MA,1,Journal,2-s2.0-0001626107
Devroye L.,,Automatic Pattern Recognition: A Study of the Probability of Error,1988,IEEE Transactions on Pattern Analysis and Machine Intelligence,79,10.1109/34.3915,Canada,Article,Montreal,0,Journal,2-s2.0-0024053797
Devroye L.,,Necessary and sufficient conditions for the pointwise convergence of nearest neighbor regression function estimates,1982,Zeitschrift für Wahrscheinlichkeitstheorie und Verwandte Gebiete,59,10.1007/BF00531618,Canada,Article,Montreal,0,Journal,2-s2.0-0000236372
Devroye L.,,Any Discrimination Rule Can Have an Arbitrarily Bad Probability of Error for Finite Sample Size,1982,IEEE Transactions on Pattern Analysis and Machine Intelligence,44,10.1109/TPAMI.1982.4767222,Canada,Article,Montreal,0,Journal,2-s2.0-0020098693
Cover T.,,Geometrical and Statistical Properties of Systems of Linear Inequalities with Applications in Pattern Recognition,1965,IEEE Transactions on Electronic Computers,1126,10.1109/PGEC.1965.264137,United States,Letter,Palo Alto,0,Journal,2-s2.0-84918441630
