Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Clarke D.,,A context-theoretic framework for compositionality in distributional semantics,2012,Computational Linguistics,34,10.1162/COLI_a_00084,United Kingdom,Article,Hatfield,1,Journal,2-s2.0-84856190967
Socher R.,,Dynamic pooling and unfolding recursive autoencoders for paraphrase detection,2011,"Advances in Neural Information Processing Systems 24: 25th Annual Conference on Neural Information Processing Systems 2011, NIPS 2011",515,,United States,Conference Paper,Palo Alto,0,Conference Proceeding,2-s2.0-84860622700
Grefenstette E.,,Experimental support for a categorical compositional distributional model of meaning,2011,"EMNLP 2011 - Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference",144,,United Kingdom,Conference Paper,Oxford,0,Conference Proceeding,2-s2.0-80053235817
Socher R.,,Semi-supervised recursive autoencoders for predicting sentiment distributions,2011,"EMNLP 2011 - Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference",764,,United States,Conference Paper,Palo Alto,0,Conference Proceeding,2-s2.0-80053261327
Baroni M.,,"Nouns are vectors, adjectives are matrices: Representing adjective-noun constructions in semantic space",2010,"EMNLP 2010 - Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference",255,,Italy,Conference Paper,Trento,0,Conference Proceeding,2-s2.0-80053232678
Turian J.,,Word representations: A simple and general method for semi-supervised learning,2010,"ACL 2010 - 48th Annual Meeting of the Association for Computational Linguistics, Proceedings of the Conference",1172,,Canada,Conference Paper,Montreal,0,Conference Proceeding,2-s2.0-80053495924
Baroni M.,,Distributional memory: A general framework for corpus-based semantics,2010,Computational Linguistics,292,10.1162/coli_a_00016,Italy,Article,Trento,1,Journal,2-s2.0-78650686637
Das D.,,Paraphrase identification as probabilistic quasi-synchronous recognition,2009,"ACL-IJCNLP 2009 - Joint Conf. of the 47th Annual Meeting of the Association for Computational Linguistics and 4th Int. Joint Conf. on Natural Language Processing of the AFNLP, Proceedings of the Conf.",130,10.3115/1687878.1687944,United States,Conference Paper,Pittsburgh,1,Conference Proceeding,2-s2.0-84859902208
Collobert R.,,A unified architecture for natural language processing: Deep neural networks with multitask learning,2008,Proceedings of the 25th International Conference on Machine Learning,2549,,United States,Conference Paper,Princeton,0,Conference Proceeding,2-s2.0-56449095373
Rus V.,,Paraphrase identification with lexico-syntactic graph subsumption,2008,"Proceedings of the 21th International Florida Artificial Intelligence Research Society Conference, FLAIRS-21",56,,United States,Conference Paper,Memphis,0,Conference Proceeding,2-s2.0-55849148021
Fan R.,,LIBLINEAR: A library for large linear classification,2008,Journal of Machine Learning Research,4968,,Taiwan,Article,Taipei,0,Journal,2-s2.0-50949133669
Griffiths T.,,Topics in semantic representation,2007,Psychological Review,576,10.1037/0033-295X.114.2.211,United States,Article,Berkeley,0,Journal,2-s2.0-34248560792
Islam A.,,Semantic similarity of short texts,2007,"International Conference Recent Advances in Natural Language Processing, RANLP",16,,Canada,Conference Paper,Ottawa,0,Conference Proceeding,2-s2.0-84959059273
Qiu L.,,Paraphrase recognition via dissimilarity significance classification,2006,"COLING/ACL 2006 - EMNLP 2006: 2006 Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference",78,,Singapore,Conference Paper,Singapore City,0,Conference Proceeding,2-s2.0-55849090098
Mihalcea R.,,Corpus-based and knowledge-based measures of text semantic similarity,2006,Proceedings of the National Conference on Artificial Intelligence,541,,United States,Conference Paper,Denton,0,Conference Proceeding,2-s2.0-33750693384
Turney P.D.,,Similarity of semantic relations,2006,Computational Linguistics,219,10.1162/coli.2006.32.3.379,Canada,Article,"Ottawa ON,",1,Journal,2-s2.0-33748661515
Kintsch W.,,Predication,2001,Cognitive Science,217,10.1016/S0364-0213(01)00034-9,United States,Article,Boulder,0,Journal,2-s2.0-0035740316
Finkelstein L.,,Placing search in context: The concept revisited,2001,"Proceedings of the 10th International Conference on World Wide Web, WWW 2001",427,10.1145/371920.372094,Israel,Conference Paper,Tel Aviv-Yafo,0,Conference Proceeding,2-s2.0-85017481510
Bellegarda J.R.,,Exploiting latent sematic information in statistical language modeling,2000,Proceedings of the IEEE,279,10.1109/5.880084,United States;United States,Article,Cupertino;New York,0,Journal,2-s2.0-0000274403
Schütze H.,,Automatic Word Sense Discrimination,1998,Computational Linguistics,637,,United States,Article,Palo Alto,0,Journal,2-s2.0-0347596961
Landauer T.,,"A Solution to Plato's Problem: The Latent Semantic Analysis Theory of Acquisition, Induction, and Representation of Knowledge",1997,Psychological Review,3296,10.1037/0033-295X.104.2.211,United States,Article,Boulder,0,Journal,2-s2.0-0000600219
Plate T.,,Holographic Reduced Representations,1995,IEEE Transactions on Neural Networks,201,10.1109/72.377968,Canada,Article,Vancouver,0,Journal,2-s2.0-0029310084
Smolensky P.,,Tensor product variable binding and the representation of symbolic structures in connectionist systems,1990,Artificial Intelligence,393,10.1016/0004-3702(90)90007-M,United States,Article,Boulder,0,Journal,2-s2.0-0025516779
