Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Wang Y.,,Ras and Gpa2 mediate one branch of a redundant glucose signaling pathway in yeast,2004,PLoS Biology,113,10.1371/journal.pbio.0020128,United States,Article,Princeton,1,Journal,2-s2.0-19344365135
Amsterdam A.,,Many ribosomal protein genes are cancer genes in zebrafish,2004,PLoS Biology,317,10.1371/journal.pbio.0020139,United States,Article,Cambridge,1,Journal,2-s2.0-19344366193
De Bruin R.,,Cln3 activates G1-specific transcription via phosphorylation of the SBF bound repressor Whi5,2004,Cell,264,10.1016/j.cell.2004.05.025,United States,Article,San Diego,1,Journal,2-s2.0-2942755857
Costanzo M.,,"CDK activity antagonizes Whi5, an inhibitor of G1/S transcription in yeast",2004,Cell,295,10.1016/j.cell.2004.05.024,Canada,Article,Toronto,1,Journal,2-s2.0-2942739030
Grigull J.,,Genome-wide analysis of mRNA stability using transcription inhibitors and microarrays reveals posttranscriptional control of ribosome biogenesis factors,2004,Molecular and Cellular Biology,253,10.1128/MCB.24.12.5534-5547.2004,Canada,Article,Toronto,1,Journal,2-s2.0-2942561052
Beer M.,,Predicting gene expression from sequence,2004,Cell,438,10.1016/S0092-8674(04)00304-6,United States,Article,Princeton,1,Journal,2-s2.0-1942453302
Mayer C.,,mTOR-dependent activation of the transcription factor TIF-IA links rRNA synthesis to nutrient availability,2004,Genes and Development,309,10.1101/gad.285504,Germany,Article,Heidelberg,1,Journal,2-s2.0-1542343973
Wang H.,,Recruitment of Cdc28 by Whi3 restricts nuclear accumulation of the G1 cyclin-Cdk complex to late G1,2004,EMBO Journal,57,10.1038/sj.emboj.7600022,Spain;United States,Article,Lleida;Stony Brook,0,Journal,2-s2.0-0842285405
Thompson M.,,Nucleolar Clustering of Dispersed tRNA Genes,2003,Science,234,10.1126/science.1089814,United States,Article,Ann Arbor,0,Journal,2-s2.0-0344012605
Tsang C.,,Chromatin-mediated regulation of nucleolar structure and RNA Pol I localization by TOR,2003,EMBO Journal,122,10.1093/emboj/cdg578,United States,Article,St. Louis,0,Journal,2-s2.0-0345305803
