Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Gimenez-Roqueplo A.P.,,"An update on the genetics of paraganglioma, pheochromocytoma, and associated hereditary syndromes",2012,Hormone and Metabolic Research,182,10.1055/s-0031-1301302,France;France;France,Review,Paris;Paris;Paris,0,Journal,2-s2.0-84860834761
Pantaleo M.,,A distinct pediatric-type gastrointestinal stromal tumor in adults: Potential role of succinate dehydrogenase subunit a mutations,2011,American Journal of Surgical Pathology,35,10.1097/PAS.0b013e318230a523,Italy;,Letter,Bologna;,0,Journal,2-s2.0-80055017765
Miettinen M.,,"Succinate dehydrogenase-deficient GISTs: A clinicopathologic, immunohistochemical, and molecular genetic study of 66 gastric GISTs with predilection to young age",2011,American Journal of Surgical Pathology,208,10.1097/PAS.0b013e3182260752,United States;United States,Article,Bethesda;Silver Spring,0,Journal,2-s2.0-80055020285
Bardella C.,,SDH mutations in cancer,2011,Biochimica et Biophysica Acta - Bioenergetics,207,10.1016/j.bbabio.2011.07.003,United Kingdom,Review,Oxford,1,Journal,2-s2.0-80052744948
Pantaleo M.A.,,SDHA loss-of-function mutations in KIT-PDGFRA wild-type gastrointestinal stromal tumors identified by massively parallel sequencing,2011,Journal of the National Cancer Institute,106,10.1093/jnci/djr130,Italy,Article,Bologna,1,Journal,2-s2.0-79959715470
Yang C.,,Missense mutations in the NF2 gene result in the quantitative loss of merlin protein and minimally affect protein intrinsic function,2011,Proceedings of the National Academy of Sciences of the United States of America,33,10.1073/pnas.1102198108,United States,Article,Bethesda,1,Journal,2-s2.0-79953217085
Janeway K.A.,,Defects in succinate dehydrogenase in gastrointestinal stromal tumors lacking KIT and PDGFRA mutations,2011,Proceedings of the National Academy of Sciences of the United States of America,379,10.1073/pnas.1009199108,United States,Article,Boston,1,Journal,2-s2.0-78651082042
Gaal J.,,SDHB immunohistochemistry: A useful tool in the diagnosis of Carney-Stratakis and Carney triad gastrointestinal stromal tumors,2011,Modern Pathology,138,10.1038/modpathol.2010.185,Netherlands,Article,Rotterdam,1,Journal,2-s2.0-78650866382
Burnichon N.,,SDHA is a tumor suppressor gene causing paraganglioma,2010,Human Molecular Genetics,473,10.1093/hmg/ddq206,France;France;France,Article,Paris;Paris;Paris,1,Journal,2-s2.0-77958164441
Rutter J.,,"Succinate dehydrogenase - Assembly, regulation and role in human disease",2010,Mitochondrion,172,10.1016/j.mito.2010.03.001,United States,Article,Salt Lake City,0,Journal,2-s2.0-77952885778
Gill A.J.,,Immunohistochemistry for SDHB divides gastrointestinal stromal tumors (GISTs) into 2 distinct types,2010,American Journal of Surgical Pathology,154,10.1097/PAS.0b013e3181d6150d,Australia;Australia,Article,Sydney;Sydney,0,Journal,2-s2.0-77951809464
Ricketts C.J.,,Tumor risks and genotype-phenotype-proteotype analysis in 358 patients with germline mutations in SDHB and SDHD,2010,Human Mutation,254,10.1002/humu.21136,United Kingdom,Article,Birmingham,0,Journal,2-s2.0-74049144943
Stratakis C.,,"The triad of paragangliomas, gastric stromal tumours and pulmonary chondromas (Carney triad), and the dyad of paragangliomas and gastric stromal sarcomas (Carney-Stratakis syndrome): Molecular genetics and clinical implications",2009,Journal of Internal Medicine,179,10.1111/j.1365-2796.2009.02110.x,United States;United States,Conference Paper,Bethesda;Bethesda,1,Journal,2-s2.0-66849135214
Pymar L.S.,,Bladder tumour-derived somatic TSC1 missense mutations cause loss of function via distinct mechanisms,2008,Human Molecular Genetics,51,10.1093/hmg/ddn098,United Kingdom,Article,Leeds,1,Journal,2-s2.0-45749119969
Pasini B.,,"Clinical and molecular genetics of patients with the Carney-Stratakis syndrome and germline mutations of the genes coding for the succinate dehydrogenase subunits SDHB, SDHC, and SDHD",2008,European Journal of Human Genetics,324,10.1038/sj.ejhg.5201904,Italy,Article,Turin,1,Journal,2-s2.0-37349074531
Horváth R.,,Leigh syndrome caused by mutations in the flavoprotein (Fp) subunit of succinate dehydrogenase (SDHA),2006,"Journal of Neurology, Neurosurgery and Psychiatry",92,10.1136/jnnp.2005.067041,Germany,Article,Munich,1,Journal,2-s2.0-29644447089
