Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Cleary P.,,Transcriptional control in the L arabinose operon of Escherichia coli B/r,1974,Journal of Bacteriology,7,,United States,Article,Santa Barbara,0,Journal,2-s2.0-0016379128
Hua S.,,Multiple regulation of the galactose operon genetic evidence for a distinct site in the galactose operon that responds to capR gene regulation in Escherichia coli K 12,1974,Proceedings of the National Academy of Sciences of the United States of America,15,10.1073/pnas.71.2.507,United States,Article,Chicago,1,Journal,2-s2.0-0015954528
Savageau M.,,Genetic regulatory mechanisms and the ecological niche of Escherichia coli,1974,Proceedings of the National Academy of Sciences of the United States of America,38,10.1073/pnas.71.6.2453,United States,Article,Ann Arbor,1,Journal,2-s2.0-0016154164
Goldberger R.,,Autogenous regulation of gene expression,1974,Science,106,10.1126/science.183.4127.810,United States,Article,Bethesda,0,Journal,2-s2.0-0016041963
Hagen D.C.,,Isolation of the self-regulated repressor protein of the Hut operons of Salmonella typhimurium.,1973,Proceedings of the National Academy of Sciences of the United States of America,16,10.1073/pnas.70.3.808,,Article,,1,Journal,2-s2.0-0015591366
Nakanishi S.,,In vitro repression of the transcription of gas operon by purified gal repressor.,1973,Proceedings of the National Academy of Sciences of the United States of America,27,10.1073/pnas.70.2.334,,Article,,1,Journal,2-s2.0-0015576056
Hua S.,,Multiple regulator gene control of the galactose operon in Escherichia coli K-12.,1972,Journal of Bacteriology,35,,,Article,,0,Journal,2-s2.0-0015349605
Reznikoff W.,,The operon revisited.,1972,Annual review of genetics,35,10.1146/annurev.ge.06.120172.001025,,Review,,0,Journal,2-s2.0-0015445265
Hofnung M.,,Complementation studies in the maltose-A region of the Escherichia coli K12 genetic map,1971,Journal of Molecular Biology,41,10.1016/0022-2836(71)90072-6,United States;France,Article,Bethesda;Paris,0,Journal,2-s2.0-0015223531
Bourgeois S.,,The Lac Repressor,1971,Current Topics in Cellular Regulation,9,10.1016/B978-0-12-152804-1.50008-8,United States,Chapter,San Diego,0,Book Series,2-s2.0-85012751791
Smith G.,,Nature and self-regulated synthesis of the repressor of the hut operons in Salmonella typhimurium.,1971,Proceedings of the National Academy of Sciences of the United States of America,26,10.1073/pnas.68.7.1493,,Article,,1,Journal,2-s2.0-0015092376
Cozzarelli N.R.,,Genetic control of the l-α-glycerophosphate system in Escherichia coli,1968,Journal of Molecular Biology,49,10.1016/0022-2836(68)90415-4,United States,Article,Boston,0,Journal,2-s2.0-0014413375
Schlesinger S.,,Exogenous and endogenous induction of the histidine-degrading enzymes in Aerobacter aerogenes.,1965,Journal of Biological Chemistry,26,,,Article,,0,Journal,2-s2.0-0013812016
Jacob F.,,Genetic regulatory mechanisms in the synthesis of proteins,1961,Journal of Molecular Biology,2623,10.1016/S0022-2836(61)80072-7,France,Review,Paris,0,Journal,2-s2.0-54249116230
