Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Calin G.,,MicroRNA signatures in human cancers,2006,Nature Reviews Cancer,5856,10.1038/nrc1997,United States,Review,Columbus,0,Journal,2-s2.0-33750370444
Clop A.,,A mutation creating a potential illegitimate microRNA target site in the myostatin gene affects muscularity in sheep,2006,Nature Genetics,918,10.1038/ng1810,Belgium,Article,Liege,0,Journal,2-s2.0-33745577150
Vercelli D.,,"The Faustian bargain of genetic association studies: Bigger might not be better, or at least it might not be good enough",2006,Journal of Allergy and Clinical Immunology,20,10.1016/j.jaci.2006.03.030,United States,Editorial,Tucson,0,Journal,2-s2.0-33646922359
Ober C.,,The miscarriage-associated HLA-G -725G allele influences transcription rates in JEG-3 cells,2006,Human Reproduction,70,10.1093/humrep/del036,United States,Article,Chicago,1,Journal,2-s2.0-33745841346
Ober C.,,Rethinking genetic models of asthma: The role of environmental modifiers,2005,Current Opinion in Immunology,59,10.1016/j.coi.2005.09.009,United States,Review,Chicago,0,Journal,2-s2.0-27144465260
Tan Z.,,Evidence of balancing selection at the HLA-G promoter region,2005,Human Molecular Genetics,108,10.1093/hmg/ddi389,United States,Article,Chicago,1,Journal,2-s2.0-28744446297
Wu L.,,Micro-RNA regulation of the mammalian lin-28 gene during neuronal differentiation of embryonal carcinoma cells,2005,Molecular and Cellular Biology,218,10.1128/MCB.25.21.9198-9208.2005,United States,Article,New York,1,Journal,2-s2.0-27144475302
Abelson J.,,Medicine: Sequence variants in SLITRK1 are associated with Tourette's syndrome,2005,Science,710,10.1126/science.1116502,United States;United States,Article,New Haven;New Haven,0,Journal,2-s2.0-26844498125
Rusinov V.,,MicroInspector: A web tool for detection of miRNA binding sites in an RNA sequence,2005,Nucleic Acids Research,186,10.1093/nar/gki364,Greece;Bulgaria,Article,Heraklion;Plovdiv,1,Journal,2-s2.0-23144449159
Iwai N.,,Polymorphisms in human pre-miRNAs,2005,Biochemical and Biophysical Research Communications,184,10.1016/j.bbrc.2005.04.051,Japan,Article,Suita,0,Journal,2-s2.0-18844380174
He L.,,A microRNA polycistron as a potential human oncogene,2005,Nature,2923,10.1038/nature03552,United States,Article,Cold Spring Harbor,0,Journal,2-s2.0-20444467290
Hunt J.,,HLA-G and immune tolerance in pregnancy,2005,FASEB Journal,347,10.1096/fj.04-2078rev,United States,Review,Kansas City,0,Journal,2-s2.0-18144407990
Krek A.,,Combinatorial microRNA target predictions,2005,Nature Genetics,3564,10.1038/ng1536,United States,Article,New York,0,Journal,2-s2.0-20944450160
Lecellier C.,,A cellular microRNA mediates antiviral defense in human cells,2005,Science,732,10.1126/science.1108784,France,Article,Strasbourg,0,Journal,2-s2.0-17644363376
