Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Lupien M.,,FoxA1 Translates Epigenetic Signatures into Enhancer-Driven Lineage-Specific Transcription,2008,Cell,652,10.1016/j.cell.2008.01.018,United States,Article,Boston,1,Journal,2-s2.0-40849085514
Song J.,,Model-based analysis of two-color arrays (MA2C),2007,Genome Biology,89,10.1186/gb-2007-8-8-r178,United States;United States,Article,Boston;Boston,1,Journal,2-s2.0-35748962754
Mikkelsen T.S.,,Genome-wide maps of chromatin state in pluripotent and lineage-committed cells,2007,Nature,2913,10.1038/nature06008,United States,Article,Cambridge,0,Journal,2-s2.0-34547624303
Robertson G.,,Genome-wide profiles of STAT1 DNA association using chromatin immunoprecipitation and massively parallel sequencing,2007,Nature Methods,957,10.1038/nmeth1068,Canada,Article,Vancouver,0,Journal,2-s2.0-34547633677
Johnson D.S.,,Genome-wide mapping of in vivo protein-DNA interactions,2007,Science,1720,10.1126/science.1141319,United States,Article,Stanford,0,Journal,2-s2.0-34250159524
Barski A.,,High-Resolution Profiling of Histone Methylations in the Human Genome,2007,Cell,4418,10.1016/j.cell.2007.05.009,United States,Article,Bethesda,1,Journal,2-s2.0-34249026300
Carroll J.,,Genome-wide analysis of estrogen receptor binding sites,2006,Nature Genetics,1016,10.1038/ng1901,United States,Article,Boston,0,Journal,2-s2.0-33750442923
Redon R.,,Global variation in copy number in the human genome,2006,Nature,2920,10.1038/nature05329,United Kingdom,Article,Hinxton,1,Journal,2-s2.0-33751329250
Kim T.H.,,Genome-wide analysis of protein-DNA interactions,2006,Annual Review of Genomics and Human Genetics,124,10.1146/annurev.genom.7.080505.115634,United States,Review,San Diego,0,Book Series,2-s2.0-33646510364
Evan Johnson W.,,Model-based analysis of tiling-arrays for ChIP-chip,2006,Proceedings of the National Academy of Sciences of the United States of America,344,10.1073/pnas.0601180103,United States;United States,Article,Boston;Boston,1,Journal,2-s2.0-33747587864
Wei C.L.,,A global map of p53 transcription-factor binding sites in the human genome,2006,Cell,865,10.1016/j.cell.2005.10.043,Singapore,Article,Singapore City,1,Journal,2-s2.0-30344478870
Iyer V.R.,,Genomic binding sites of the yeast cell-cycle transcription factors SBF and MBF,2001,Nature,852,10.1038/35054095,,Article,,0,Journal,2-s2.0-0035945567
Ren B.,,Genome-wide location and function of DNA binding proteins,2000,Science,1525,10.1126/science.290.5500.2306,United States,Article,Cambridge,0,Journal,2-s2.0-0034704248
