Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Palla G.,,Uncovering the overlapping community structure of complex networks in nature and society,2005,Nature,3512,10.1038/nature03607,Hungary;Hungary,Article,Budapest;Budapest,0,Journal,2-s2.0-20444504323
Tanizawa T.,,Optimization of network robustness to waves of targeted and random attacks,2005,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",138,10.1103/PhysRevE.71.047101,Japan;United States,Article,Nankoku;Boston,0,Journal,2-s2.0-41349118482
Eguíluz V.,,Scale-free brain functional networks,2005,Physical Review Letters,1044,10.1103/PhysRevLett.94.018102,Spain,Article,Esporlas,0,Journal,2-s2.0-18144406182
Li L.,,A first-principles approach to understanding the internet's router-level topology,2004,Computer Communication Review,173,10.1145/1030194.1015470,United States,Conference Paper,Pasadena,0,Conference Proceeding,2-s2.0-21144457911
Rozenfeld H.D.,,Designer nets from local strategies,2004,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",18,10.1103/PhysRevE.70.056107,United States,Article,Potsdam,0,Journal,2-s2.0-41349122648
Lopes J.V.,,Exact solution of Ising model on a small-world network,2004,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",34,10.1103/PhysRevE.70.026112,Portugal,Article,Porto,0,Journal,2-s2.0-42749098845
Bearman P.,,Chains of affection: The structure of adolescent romantic and sexual networks,2004,American Journal of Sociology,410,10.1086/386272,United States,Article,New York,0,Journal,2-s2.0-7044264926
Costa L.D.F.,,Reinforcing the resilience of complex networks,2004,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",22,10.1103/PhysRevE.69.066127,Brazil,Article,Sao Paulo,0,Journal,2-s2.0-42749099510
Schneeberger A.,,Scale-free networks and sexually transmitted diseases: A description of observed patterns of sexual contacts in Britain and Zimbabwe,2004,Sexually Transmitted Diseases,152,10.1097/00007435-200406000-00012,United Kingdom,Article,London,0,Journal,2-s2.0-2542440526
Newman M.E.J.,,Fast algorithm for detecting community structure in networks,2004,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",2954,10.1103/PhysRevE.69.066133,United States,Article,Ann Arbor,0,Journal,2-s2.0-42749100809
Holme P.,,Structure and time evolution of an Internet dating community,2004,Social Networks,191,10.1016/j.socnet.2004.01.007,Sweden,Article,Umea,0,Journal,2-s2.0-1842661569
Balthrop J.,,Technological Networks and the Spread of Computer Viruses,2004,Science,210,10.1126/science.1095845,United States,Review,Albuquerque,0,Journal,2-s2.0-2142758072
Wilkinson D.,,A method for finding communities of related genes,2004,Proceedings of the National Academy of Sciences of the United States of America,165,10.1073/pnas.0307740100,United States,Article,Palo Alto,1,Journal,2-s2.0-1842738363
Newman M.,,Coauthorship networks and patterns of scientific collaboration,2004,Proceedings of the National Academy of Sciences of the United States of America,1056,10.1073/pnas.0307545100,United States,Article,Ann Arbor,1,Journal,2-s2.0-1842788834
Radicchi F.,,Defining and identifying communities in networks,2004,Proceedings of the National Academy of Sciences of the United States of America,1536,10.1073/pnas.0400054101,Italy,Article,Rome,1,Journal,2-s2.0-1542357701
Caldarelli G.,,Structure of cycles and local ordering in complex networks,2004,European Physical Journal B,52,10.1140/epjb/e2004-00020-6,Italy,Conference Paper,Rome,0,Journal,2-s2.0-2942566564
Csányi G.,,Structure of a large social network,2004,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",106,10.1103/PhysRevE.69.036131,United Kingdom,Article,Cambridge,0,Journal,2-s2.0-42749102528
Guimerà R.,,Modeling the world-wide airport network,2004,European Physical Journal B,324,10.1140/epjb/e2004-00131-0,United States,Conference Paper,Evanston,0,Journal,2-s2.0-2942568426
Wu F.,,Finding communities in linear time: A physics approach,2004,European Physical Journal B,357,10.1140/epjb/e2004-00125-x,United States,Conference Paper,Palo Alto,0,Journal,2-s2.0-2942619068
Maslov S.,,Detection of topological patterns in complex networks: Correlation profile of the internet,2004,Physica A: Statistical Mechanics and its Applications,235,10.1016/j.physa.2003.06.002,United States,Article,Upton,0,Journal,2-s2.0-0347759844
Burda Z.,,Network transitivity and matrix models,2004,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",30,10.1103/PhysRevE.69.026106,Poland,Article,Krakow,0,Journal,2-s2.0-37649029436
Newman M.E.J.,,Finding and evaluating community structure in networks,2004,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",7687,10.1103/PhysRevE.69.026113,United States;United States,Article,Santa Fe;Ann Arbor,0,Journal,2-s2.0-37649028224
Li S.,,A Map of the Interactome Network of the Metazoan C. elegans,2004,Science,1334,10.1126/science.1091403,United States,Article,Boston,0,Journal,2-s2.0-9144264169
Bearman P.,,Cloning headless frogs and other important Matters: Conversation topics and network structure,2004,Social Forces,151,10.1353/sof.2005.0001,United States,Review,New York,0,Journal,2-s2.0-13544253648
Fortunato S.,,Method to find community structures based on information centrality,2004,"Physical Review E - Statistical Physics, Plasmas, Fluids, and Related Interdisciplinary Topics",231,10.1103/PhysRevE.70.056104,Germany,Article,Bielefeld,0,Journal,2-s2.0-41349119161
Giot L.,,A Protein Interaction Map of Drosophila melanogaster,2003,Science,1781,10.1126/science.1090289,United States,Article,Branford,0,Journal,2-s2.0-0345600247
Guimerà R.,,Self-similar community structure in a network of human interactions,2003,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",769,,Spain;United States,Article,Tarragona;Evanston,0,Journal,2-s2.0-1842616539
