Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Berlow E.,,Strong effects of weak interactions in ecological communities,1999,Nature,334,10.1038/18672,United States,Article,Berkeley,0,Journal,2-s2.0-0033602470
McCann K.,,Weak trophic interactions and the balance of nature,1998,Nature,1034,10.1038/27427,United States,Article,Davis,0,Journal,2-s2.0-0032558786
Solow A.R.,,On lumping species in food webs,1998,Ecology,64,10.1890/0012-9658(1998)079[2013:OLSIFW]2.0.CO;2,United States,Article,Woods Hole,0,Journal,2-s2.0-0031719598
Symstad A.J.,,Species loss and ecosystem functioning: Effects of species identity and community composition,1998,Oikos,187,10.2307/3547058,United States,Article,Minneapolis,0,Journal,2-s2.0-0031888339
Murtaugh P.,,Variation of trophic fractions and connectance in food webs,1997,Ecology,17,10.1890/0012-9658(1997)078[1382:VOTFAC]2.0.CO;2,United States,Article,Corvallis,0,Journal,2-s2.0-0030613984
Marcogliese D.J.,,Food webs: A plea for parasites,1997,Trends in Ecology and Evolution,262,10.1016/s0169-5347(97)01080-x,Canada,Review,Gatineau,0,Journal,2-s2.0-0031284941
Huxham M.,,Parasites and food web patterns,1995,Journal of Animal Ecology,105,10.2307/5752,United Kingdom,Article,Ellon,0,Journal,2-s2.0-0028973855
De Ruiter P.,,"Energetics, patterns of interaction strengths, and stability in real ecosystems",1995,Science,449,10.1126/science.269.5228.1257,Netherlands,Article,Wageningen,0,Journal,2-s2.0-0028991860
Martinez N.,,Scale-dependent constraints on food-web structure,1994,American Naturalist,90,10.1086/285719,United States,Article,Bodega Bay,0,Journal,2-s2.0-0028165490
Martinez N.D.,,Effect of scale on food web structure,1993,Science,75,10.1126/science.260.5105.242,United States,Note,Bodega Bay,1,Journal,2-s2.0-0000734119
Goldwasser L.,,Construction and analysis of a large Caribbean food web,1993,Ecology,158,10.2307/1940492,United States,Article,Palo Alto,0,Journal,2-s2.0-0027383159
Cohen J.,,Body sizes of animal predators and animal prey in food webs,1993,Journal of Animal Ecology,484,10.2307/5483,United States,Article,New York,0,Journal,2-s2.0-0027386432
Havens K.,,Scale and structure in natural food webs,1992,Science,170,10.1126/science.257.5073.1107,United States,Article,Kent,0,Journal,2-s2.0-0027038905
Hall S.,,Food-web patterns: lessons from a species-rich web,1991,Journal of Animal Ecology,210,10.2307/5416,United Kingdom,Article,Aberdeen,0,Journal,2-s2.0-0026307942
Martinez N.,,Artifacts or attributes? Effects of resolution on the Little Rock Lake food web,1991,Ecological Monographs,438,10.2307/2937047,United States,Article,Berkeley,0,Journal,2-s2.0-0026277992
Pimm S.,,Food web patterns and their consequences,1991,Nature,467,10.1038/350669a0,United States;United Kingdom,Review,Knoxville;London,0,Journal,2-s2.0-0025956168
Polis G.,,Complex trophic interactions in deserts: an empirical critique of food-web theory,1991,American Naturalist,659,10.1086/285208,United States,Article,Nashville,0,Journal,2-s2.0-0026296262
Warren P.,,Spatial and temporal variation in the structure of a freshwater food web,1989,Oikos,215,10.2307/3565588,United Kingdom,Article,London,0,Journal,2-s2.0-0024944556
Schoener T.,,Food webs from the small to the large,1989,Ecology,402,10.2307/1938088,United States,Article,Davis,0,Journal,2-s2.0-0024875977
Baird D.,,The seasonal dynamics of the Chesapeake Bay ecosystem,1989,Ecological Monographs,584,10.2307/1943071,South Africa,Article,,0,Journal,2-s2.0-0024877577
May R.,,How many species are there on earth?,1988,Science,735,10.1126/science.241.4872.1441,United Kingdom;United States,Article,Oxford;Princeton,0,Journal,2-s2.0-0024222079
Warren P.,,Invertebrate predator-prey body size relationships: an explanation for upper triangular food webs and patterns in food web structure?,1987,Oecologia,162,10.1007/BF00379364,United Kingdom,Article,York,0,Journal,2-s2.0-0023527140
