Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Ives A.,,Stability and diversity of ecosystems,2007,Science,773,10.1126/science.1133258,United States,Review,Madison,0,Journal,2-s2.0-34447324898
Srinivasan U.,,Response of complex food webs to realistic extinction sequences,2007,Ecology,108,10.1890/06-0971,United States,Article,Berkeley,0,Journal,2-s2.0-34247099897
Montoya J.,,Ecological networks and their fragility,2006,Nature,676,10.1038/nature04927,United Kingdom;Spain,Review,London;Barcelona,0,Journal,2-s2.0-33746327503
Allesina S.,,Secondary extinctions in ecological networks: Bottlenecks unveiled,2006,Ecological Modelling,31,10.1016/j.ecolmodel.2005.10.016,United States;Italy,Conference Paper,East Lansing;Parma,0,Journal,2-s2.0-33644695850
Vandermeer J.,,Omnivory and the stability of food webs,2006,Journal of Theoretical Biology,67,10.1016/j.jtbi.2005.06.006,United States,Article,Ann Arbor,0,Journal,2-s2.0-30444446137
Ebenman B.,,Using community viability analysis to identify fragile systems and keystone species,2005,Trends in Ecology and Evolution,117,10.1016/j.tree.2005.06.011,Sweden,Review,Linkoping,0,Journal,2-s2.0-24944564650
Christianou M.,,Keystone species and vulnerable species in ecological communities: Strong or weak interactors?,2005,Journal of Theoretical Biology,37,10.1016/j.jtbi.2004.12.022,Sweden,Article,Linkoping,0,Journal,2-s2.0-17044422586
Memmott J.,,Tolerance of pollination networks to species extinctions,2004,Proceedings of the Royal Society B: Biological Sciences,625,10.1098/rspb.2004.2909,United Kingdom,Article,Bristol,0,Journal,2-s2.0-16644365084
Raffaelli D.,,How extinction patterns affect ecosystems,2004,Science,94,10.1126/science.1106365,United Kingdom,Short Survey,York,0,Journal,2-s2.0-16544393233
Solan M.,,Extinction and ecosystem function in the marine benthos,2004,Science,496,10.1126/science.1103960,United Kingdom,Article,Aberdeen,0,Journal,2-s2.0-8444227404
Allesina S.,,Who dominates whom in the ecosystem? Energy flow bottlenecks and cascading extinctions,2004,Journal of Theoretical Biology,86,10.1016/j.jtbi.2004.05.009,Italy,Article,Parma,0,Journal,2-s2.0-4143132414
Dunne J.A.,,Network structure and robustness of marine food webs,2004,Marine Ecology Progress Series,227,10.3354/meps273291,United States;United States,Article,Santa Fe;Crested Butte,1,Journal,2-s2.0-3042842665
Berlow E.L.,,Interaction strengths in food webs: Issues and opportunities,2004,Journal of Animal Ecology,366,10.1111/j.0021-8790.2004.00833.x,United States;United States,Review,Berkeley;Bishop,1,Journal,2-s2.0-2342472037
Williams R.,,Limits to trophic levels and omnivory in complex food webs: Theory and data,2004,American Naturalist,205,10.1086/381964,United States,Article,Crested Butte,0,Journal,2-s2.0-1842661790
Emmerson M.,,"Weak interactions, omnivory and emergent food-web properties",2004,Proceedings of the Royal Society B: Biological Sciences,104,10.1098/rspb.2003.2592,Ireland,Article,Cork,0,Journal,2-s2.0-1242314715
Kondoh M.,,Foraging adaptation and the relationship between food-web complexity and stability,2003,Science,399,10.1126/science.1079154,United Kingdom;Japan,Article,Cardiff;Kyoto,0,Journal,2-s2.0-0037470443
Worm B.,,"Biodiversity, productivity and stability in real food webs",2003,Trends in Ecology and Evolution,266,10.1016/j.tree.2003.09.003,Germany,Article,Kiel,0,Journal,2-s2.0-0242577742
Newman M.,,The structure and function of complex networks,2003,SIAM Review,11537,10.1137/S003614450342480,United States,Review,Ann Arbor,0,Journal,2-s2.0-0038718854
Dunne J.,,Network structure and biodiversity loss in food webs: Robustness increases with connectance,2002,Ecology Letters,934,10.1046/j.1461-0248.2002.00354.x,United States;United States,Article,Santa Fe;San Francisco,0,Journal,2-s2.0-0036316089
Neutel A.,,Stability in real food webs: Weak links in long loops,2002,Science,460,10.1126/science.1068326,Netherlands,Article,Utrecht,0,Journal,2-s2.0-0037052507
Link J.,,Does food web theory work for marine ecosystems?,2002,Marine Ecology Progress Series,208,10.3354/meps230001,United States,Article,Woods Hole,1,Journal,2-s2.0-0037023614
