Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Starnini M.,,Immunization strategies for epidemic processes in time-varying contact networks,2013,Journal of Theoretical Biology,52,10.1016/j.jtbi.2013.07.004,Spain,Article,Barcelona,0,Journal,2-s2.0-84883690910
Starnini M.,,Topological properties of a time-integrated activity-driven network,2013,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",42,10.1103/PhysRevE.87.062807,Spain,Article,Barcelona,0,Journal,2-s2.0-84879528269
Pfitzner R.,,Betweenness preference: Quantifying correlations in the topological dynamics of temporal networks,2013,Physical Review Letters,76,10.1103/PhysRevLett.110.198701,Switzerland,Article,"Zurich ZH,",0,Journal,2-s2.0-84877811581
Liu S.Y.,,Contagion dynamics in time-varying metapopulation networks,2013,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",52,10.1103/PhysRevE.87.032805,China;United States,Article,Hangzhou;Boston,0,Journal,2-s2.0-84875523301
Perra N.,,Random walks and search in time-varying networks,2012,Physical Review Letters,110,10.1103/PhysRevLett.109.238701,United States,Article,Boston,0,Journal,2-s2.0-84870588545
Panisson A.,,On the dynamics of human proximity for data diffusion in ad-hoc networks,2012,Ad Hoc Networks,28,10.1016/j.adhoc.2011.06.003,Italy;Italy,Article,Turin;Turin,0,Journal,2-s2.0-84864749600
Hoffmann T.,,Generalized master equations for non-Poisson dynamics on networks,2012,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",52,10.1103/PhysRevE.86.046102,United Kingdom,Article,Oxford,0,Journal,2-s2.0-84867444416
Takaguchi T.,,Importance of individual events in temporal networks,2012,New Journal of Physics,26,10.1088/1367-2630/14/9/093003,Japan,Article,Tokyo,1,Journal,2-s2.0-84866328074
Starnini M.,,Random walks on temporal networks,2012,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",109,10.1103/PhysRevE.85.056115,Spain,Article,Barcelona,0,Journal,2-s2.0-84861947970
Lee S.,,Exploiting temporal network structures of human interaction to effectively immunize populations,2012,PLoS ONE,75,10.1371/journal.pone.0036439,Sweden,Article,Umea,1,Journal,2-s2.0-84860610938
Kivelä M.,,Multiscale analysis of spreading in a large communication network,2012,Journal of Statistical Mechanics: Theory and Experiment,55,10.1088/1742-5468/2012/03/P03005,Finland,Article,Espoo,0,Journal,2-s2.0-84858780426
Baronchelli A.,,Consensus in networks of mobile communicating agents,2012,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",44,10.1103/PhysRevE.85.016113,United States;Spain,Article,Boston;Barcelona,0,Journal,2-s2.0-84856670601
Vespignani A.,,Modelling dynamical processes in complex socio-technical systems,2012,Nature Physics,384,10.1038/nphys2160,Italy;United States,Article,Turin;Boston,0,Journal,2-s2.0-84255188571
Keeling M.,,Modeling infectious diseases in humans and animals,2011,Modeling Infectious Diseases in Humans and Animals,1375,,,Book,,0,Book,2-s2.0-84924261283
Stehlé J.,,Simulation of an SEIR infectious disease model on the dynamic contact network of conference attendees,2011,BMC Medicine,195,10.1186/1741-7015-9-87,France,Article,Paris,1,Journal,2-s2.0-79960559609
Bajardi P.,,Dynamical patterns of cattle trade movements,2011,PLoS ONE,126,10.1371/journal.pone.0019869,Italy;France,Article,Turin;Paris,1,Journal,2-s2.0-79956262123
