Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Rossbach K.A.,,"Inshore and offshore bottlenose dolphin (Tursiops truncatus) communities distinguished by association patterns near Grand Bahama Island, Bahamas",1999,Canadian Journal of Zoology,54,10.1139/cjz-77-4-581,United States,Article,Corvallis,0,Journal,2-s2.0-0033306131
Bejder L.,,A method for testing association patterns of social animals,1998,Animal Behaviour,281,10.1006/anbe.1998.0802,,Article,,0,Journal,2-s2.0-0032169501
Bearzi G.,,Social ecology of bottlenose dolphins in the Kvarneric (northern Adriatic Sea),1997,Marine Mammal Science,115,10.1111/j.1748-7692.1997.tb00089.x,Italy,Article,Milan,0,Journal,2-s2.0-0030818413
Wilson B.,,"Habitat use by bottlenose dolphins: Seasonal distribution and stratified movement patterns in the Moray Firth, Scotland",1997,Journal of Applied Ecology,190,10.2307/2405254,United Kingdom,Article,Aberdeen,0,Journal,2-s2.0-0031436161
Whitehead H.,,Investigating structure and temporal scale in social organizations using identified individuals,1995,Behavioral Ecology,124,10.1093/beheco/6.2.199,Canada,Article,Halifax,0,Journal,2-s2.0-0028978442
Brager S.,,"Association patterns of bottlenose dolphins (Tursiops truncatus) in Galveston Bay, Texas",1994,Journal of Mammalogy,40,10.2307/1382564,United States,Article,Galveston,0,Journal,2-s2.0-0028165520
Wrangham R.,,Constraints on group size in primates and carnivores: population density and day-range as assays of exploitation competition,1993,Behavioral Ecology and Sociobiology,196,10.1007/BF00173778,United States,Article,Cambridge,0,Journal,2-s2.0-0027808246
Ballance L.,,"HABITAT USE PATTERNS AND RANGES OF THE BOTTLENOSE DOLPHIN IN THE GULF OF CALIFORNIA, MEXICO",1992,Marine Mammal Science,112,10.1111/j.1748-7692.1992.tb00408.x,United States,Article,Moss Landing,0,Journal,2-s2.0-0027069165
Smolker R.A.,,Sex Differences in Patterns of Association Among Indian Ocean Bottlenose Dolphins,1992,Behaviour,341,10.1163/156853992X00101,United States,Article,Ann Arbor,0,Journal,2-s2.0-0027011145
Lott D.,,Intraspecific variation in the social systems of wild vertebrates,1991,Intraspecific variation in the social systems of wild vertebrates,359,,,Article,,0,Book,2-s2.0-85040896428
Wells R.,,Estimating bottlenose dolphin population parameters from individual identification and capture-release techniques,1990,"Report - International Whaling Commission, Special Issue",157,,United States,Article,Brookfield,0,Journal,2-s2.0-0025650144
Cairns S.J.,,A comparison of association indices,1987,Animal Behaviour,468,10.1016/S0003-3472(87)80018-0,United States,Article,Ithaca,0,Journal,2-s2.0-0001279346
Irvine A.,,"Movements and activities of the Atlantic bottlenose dolphin Tursiops truncatus, near Sarasota, Florida ( Tampa Bay, Gulf of Mexico).",1981,Fishery Bulletin,175,,United States,Article,Fort Collins,0,Journal,2-s2.0-0019747993
Crook J.H.,,Mammalian social systems: Structure and function,1976,Animal Behaviour,111,10.1016/S0003-3472(76)80035-8,United Kingdom,Article,Bristol,0,Journal,2-s2.0-0017133925
