Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Zardi H.,,An O(n<sup>2</sup>) algorithm for detecting communities of unbalanced sizes in large scale social networks,2013,Knowledge-Based Systems,22,10.1016/j.knosys.2012.05.021,Tunisia,Article,Monastir,0,Journal,2-s2.0-84870053850
De Meo P.,,A novel measure of edge centrality in social networks,2012,Knowledge-Based Systems,73,10.1016/j.knosys.2012.01.007,Italy,Article,Messina,0,Journal,2-s2.0-84858701932
Kim Y.,,Strategies for predicting local trust based on trust propagation in social networks,2011,Knowledge-Based Systems,87,10.1016/j.knosys.2011.06.009,United States,Article,Minneapolis,0,Journal,2-s2.0-80051470135
Keeling M.,,Modeling infectious diseases in humans and animals,2011,Modeling Infectious Diseases in Humans and Animals,1375,,,Book,,0,Book,2-s2.0-84924261283
Kaiser C.,,Warning system for online market research - Identifying critical situations in online opinion formation,2011,Knowledge-Based Systems,36,10.1016/j.knosys.2011.03.004,Germany,Article,Erlangen,0,Journal,2-s2.0-79957481302
Opsahl T.,,Node centrality in weighted networks: Generalizing degree and shortest paths,2010,Social Networks,1350,10.1016/j.socnet.2010.03.006,United Kingdom,Article,London,0,Journal,2-s2.0-77953537026
O'Mahony M.,,A classification-based review recommender,2010,Knowledge-Based Systems,70,10.1016/j.knosys.2009.11.004,Ireland,Article,Dublin,0,Journal,2-s2.0-77950596337
Fortunato S.,,Community detection in graphs,2010,Physics Reports,5864,10.1016/j.physrep.2009.11.002,Italy,Review,Turin,0,Journal,2-s2.0-74049087026
Kimura M.,,Extracting influential nodes on a social network for information diffusion,2010,Data Mining and Knowledge Discovery,151,10.1007/s10618-009-0150-5,Japan,Article,Kyoto,0,Journal,2-s2.0-76749098758
Kitsak M.,,Identification of influential spreaders in complex networks,2010,Nature Physics,1473,10.1038/nphys1746,United States;United States,Article,San Diego;Boston,1,Journal,2-s2.0-78149283685
Lancichinetti A.,,Benchmarks for testing community detection algorithms on directed and weighted graphs with overlapping communities,2009,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",613,10.1103/PhysRevE.80.016118,Italy,Article,Turin,0,Journal,2-s2.0-68949111730
Theodoridis S.,,Pattern Recognition,2009,Pattern Recognition,1593,10.1016/B978-1-59749-272-0.X0001-2,,Book,,0,Book,2-s2.0-85013709368
Lancichinetti A.,,Benchmark graphs for testing community detection algorithms,2008,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",1641,10.1103/PhysRevE.78.046110,Italy,Article,Turin,0,Journal,2-s2.0-55849088356
Carmi S.,,A model of Internet topology using k-shell decomposition,2007,Proceedings of the National Academy of Sciences of the United States of America,419,10.1073/pnas.0701175104,Israel,Article,Ramat Gan,1,Journal,2-s2.0-34547413871
Newman M.,,Modularity and community structure in networks,2006,Proceedings of the National Academy of Sciences of the United States of America,5550,10.1073/pnas.0601602103,United States,Article,Ann Arbor,1,Journal,2-s2.0-33745012299
Donetti L.,,Detecting network communities: A new systematic and efficient algorithm,2004,Journal of Statistical Mechanics: Theory and Experiment,317,10.1088/1742-5468/2004/10/P10012,Spain,Article,Granada,0,Journal,2-s2.0-84900631115
Guimerà R.,,Self-similar community structure in a network of human interactions,2003,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",769,,Spain;United States,Article,Tarragona;Evanston,0,Journal,2-s2.0-1842616539
Kempe D.,,Maximizing the spread of influence through a social network,2003,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,4461,10.1145/956750.956769,United States,Conference Paper,Ithaca,0,Conference Proceeding,2-s2.0-33747172362
Lusseau D.,,The bottlenose dolphin community of doubtful sound features a large proportion of long-lasting associations: Can geographic isolation explain this unique trait?,2003,Behavioral Ecology and Sociobiology,1311,10.1007/s00265-003-0651-y,New Zealand;United Kingdom,Article,Dunedin;Aberdeen,0,Journal,2-s2.0-0042311400
Newman M.,,The structure and function of complex networks,2003,SIAM Review,11537,10.1137/S003614450342480,United States,Review,Ann Arbor,0,Journal,2-s2.0-0038718854
Newman M.E.J.,,Spread of epidemic disease on networks,2002,"Physical Review E - Statistical Physics, Plasmas, Fluids, and Related Interdisciplinary Topics",1841,10.1103/PhysRevE.66.016128,United States;United States,Article,Santa Fe;Ann Arbor,1,Journal,2-s2.0-41349106348
