Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Wang S.,,The effect of control strength on lag synchronization of nonlinear coupled complex networks,2012,Abstract and Applied Analysis,7,10.1155/2012/810364,China,Article,Changzhou,1,Journal,2-s2.0-84864960626
Wang S.,,Cluster synchronization of time-varying delays coupled complex networks with nonidentical dynamical nodes,2012,Journal of Applied Mathematics,12,10.1155/2012/958405,China;China,Article,Zhenjiang;Changzhou,1,Journal,2-s2.0-84859772549
Wu Z.,,Cluster mixed synchronization via pinning control and adaptive coupling strength in community networks with nonidentical nodes,2012,Communications in Nonlinear Science and Numerical Simulation,53,10.1016/j.cnsns.2011.09.012,China,Article,Nanchang,0,Journal,2-s2.0-80055004368
Wang S.,,Synchronization of complex networks with time-varying delayed dynamical nodes via pinning control,2012,Mathematical Problems in Engineering,6,10.1155/2012/654742,China;China,Article,Zhenjiang;Changzhou,1,Journal,2-s2.0-84863279493
Wang J.,,Cluster synchronization of nonlinearly-coupled complex networks with nonidentical nodes and asymmetrical coupling matrix,2012,Nonlinear Dynamics,75,10.1007/s11071-011-0093-4,China,Article,Shenzhen,0,Journal,2-s2.0-84855792277
Cao J.,,Pinning synchronization of delayed neural networks with nonlinear inner-coupling,2011,Discrete Dynamics in Nature and Society,9,10.1155/2011/901085,China,Article,Nanjing,1,Journal,2-s2.0-80053612068
Guo W.,,Lag synchronization of complex networks via pinning control,2011,Nonlinear Analysis: Real World Applications,97,10.1016/j.nonrwa.2011.03.007,China,Article,Wuhan,0,Journal,2-s2.0-79957883858
Liu X.,,Cluster synchronization in directed networks via intermittent pinning control,2011,IEEE Transactions on Neural Networks,228,10.1109/TNN.2011.2139224,China,Article,Shanghai,0,Journal,2-s2.0-79960118796
Lu W.,,Cluster synchronization in networks of coupled nonidentical dynamical systems,2010,Chaos,152,10.1063/1.3329367,China,Article,Shanghai,0,Journal,2-s2.0-78149280298
Wang Y.,,Global synchronization for delayed complex networks with randomly occurring nonlinearities and multiple stochastic disturbances,2009,Journal of Physics A: Mathematical and Theoretical,86,10.1088/1751-8113/42/13/135101,China,Article,Shanghai,0,Journal,2-s2.0-67650863484
Miao Q.,,Lag synchronization of a class of chaotic systems with unknown parameters,2009,Nonlinear Dynamics,39,10.1007/s11071-008-9424-5,China;China,Article,Shanghai;Shanghai,0,Journal,2-s2.0-67449161338
Cao J.,,Cluster synchronization in an array of hybrid coupled neural networks with delay,2009,Neural Networks,211,10.1016/j.neunet.2009.03.006,China,Article,Nanjing,0,Journal,2-s2.0-67349144397
Wang K.,,Cluster synchronization in community networks with nonidentical nodes,2009,Chaos,123,10.1063/1.3125714,China,Article,Shanghai,0,Journal,2-s2.0-67651099022
Zhang Q.,,Adaptive feedback synchronization of a general complex dynamical network with delayed nodes,2008,IEEE Transactions on Circuits and Systems II: Express Briefs,195,10.1109/TCSII.2007.911813,China,Article,Wuhan,0,Journal,2-s2.0-54749148714
Lu J.,,Adaptive synchronization of uncertain dynamical networks with delayed coupling,2008,Nonlinear Dynamics,123,10.1007/s11071-007-9299-x,Hong Kong;China,Article,Kowloon;Nanjing,0,Journal,2-s2.0-44649088856
Zhou J.,,Pinning synchronization of delayed neural networks,2008,Chaos,66,10.1063/1.2995852,China;Hong Kong,Article,Wuhan;Kowloon,0,Journal,2-s2.0-58149327426
Belykh V.,,Cluster synchronization in oscillatory networks,2008,Chaos,67,10.1063/1.2956986,Russian Federation,Article,Nizhni Novgorod,0,Journal,2-s2.0-54749138457
Gao H.,,New criteria for synchronization stability of general complex dynamical networks with coupling delays,2006,"Physics Letters, Section A: General, Atomic and Solid State Physics",314,10.1016/j.physleta.2006.08.033,China,Article,Harbin,0,Journal,2-s2.0-33750464493
Li C.,,Synchronization of complex dynamical networks with time delays,2006,Physica A: Statistical Mechanics and its Applications,115,10.1016/j.physa.2005.07.007,China,Article,Shanghai,0,Journal,2-s2.0-27744487755
Ma Z.,,A new method to realize cluster synchronization in connected chaotic networks,2006,Chaos,133,10.1063/1.2184948,China,Article,Shanghai,0,Journal,2-s2.0-33748745031
Belykh I.,,Synchronization of bursting neurons: What matters in the network topology,2005,Physical Review Letters,326,10.1103/PhysRevLett.94.188101,Switzerland,Article,Lausanne,0,Journal,2-s2.0-27144547553
Qin W.X.,,Coupling schemes for cluster synchronization in coupled josephson equations,2004,Physica D: Nonlinear Phenomena,58,10.1016/j.physd.2004.07.011,China,Article,Suzhou,0,Journal,2-s2.0-4644338411
Rosenblum M.,,From phase to lag synchronization in coupled chaotic oscillators,1997,Physical Review Letters,1124,10.1103/PhysRevLett.78.4193,Germany,Article,Potsdam,0,Journal,2-s2.0-0031548743
