Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Acemoǧlu D.,,Opinion fluctuations and disagreement in social networks,2013,Mathematics of Operations Research,201,10.1287/moor.1120.0570,United States,Article,Cambridge,0,Journal,2-s2.0-84875408980
Golub B.,,How homophily affects the speed of learning and best-response dynamics,2012,Quarterly Journal of Economics,128,10.1093/qje/qjs021,United States,Article,Cambridge,0,Journal,2-s2.0-84865356804
Brandt C.,,An analysis of one-dimensional Schelling segregation,2012,Proceedings of the Annual ACM Symposium on Theory of Computing,29,10.1145/2213977.2214048,United States,Conference Paper,Palo Alto,0,Conference Proceeding,2-s2.0-84862611809
Centola D.,,An experimental study of homophily in the adoption of health behavior,2011,Science,307,10.1126/science.1207055,United States,Article,Cambridge,0,Journal,2-s2.0-82755165157
Bindel D.,,How bad is forming your own opinion?,2011,"Proceedings - Annual IEEE Symposium on Foundations of Computer Science, FOCS",56,10.1109/FOCS.2011.43,United States,Conference Paper,Ithaca,0,Conference Proceeding,2-s2.0-84863311712
Lawrence E.,,"Self-segregation or deliberation? blog readership, participation, and polarization in american politics",2010,Perspectives on Politics,175,10.1017/S1537592709992714,United States,Article,"Washington, D.C.",1,Journal,2-s2.0-77951454941
Gilbert E.,,Blogs are echo chambers: Blogs are echo chambers,2009,"Proceedings of the 42nd Annual Hawaii International Conference on System Sciences, HICSS",64,10.1109/HICSS.2009.91,United States,Conference Paper,Urbana,0,Conference Proceeding,2-s2.0-63349085900
Baldassarri D.,,Partisans without constraint: Political polarization and trends in American public opinion,2008,American Journal of Sociology,279,10.1086/590649,United States,Review,Princeton,0,Journal,2-s2.0-54349098759
Hargittai E.,,Cross-ideological discussions among conservative and liberal bloggers,2008,Public Choice,153,10.1007/s11127-007-9201-x,United States,Article,Evanston,0,Journal,2-s2.0-36549008523
Bruch E.E.,,Neighborhood choice and neighborhood change,2006,American Journal of Sociology,195,10.1086/507856,United States,Article,Ann Arbor,0,Journal,2-s2.0-33846892015
Taber C.,,Motivated skepticism in the evaluation of political beliefs,2006,American Journal of Political Science,1412,10.1111/j.1540-5907.2006.00214.x,United States,Article,Stony Brook,0,Journal,2-s2.0-33744718189
Adamic L.,,The political blogosphere and the 2004 U.S. Election: Divided they blog,2005,"3rd International Workshop on Link Discovery, LinkKDD 2005 - in conjunction with 10th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",1265,10.1145/1134271.1134277,United States,Conference Paper,Palo Alto,0,Conference Proceeding,2-s2.0-84958161527
Linden G.,,Amazon.com recommendations: Item-to-item collaborative filtering,2003,IEEE Internet Computing,3271,10.1109/MIC.2003.1167344,United States,Article,Seattle,0,Journal,2-s2.0-0037252945
Munro G.,,Biased assimilation of sociopolitical arguments: Evaluating the 1996 U.S. Presidential debate,2002,Basic and Applied Social Psychology,115,10.1207/S15324834BASP2401_2,United States,Article,St Marys,0,Journal,2-s2.0-85047687161
Lempel R.,,SALSA: The stochastic approach for link-structure analysis,2001,ACM Transactions on Information Systems,225,10.1145/382979.383041,Israel,Article,Haifa,0,Journal,2-s2.0-0001313149
Krause U.,,A discrete nonlinear and non-autonomous model of consensus formation,2000,Communications in Difference Equations: Proceedings of the Fourth International Conference on Difference Equations,241,,Germany,Chapter,Bremen,0,Book,2-s2.0-85030234566
Baron R.S.,,Social corroboration and opinion extremity,1996,Journal of Experimental Social Psychology,73,10.1006/jesp.1996.0024,United States,Article,Iowa City,0,Journal,2-s2.0-0030295788
Miller A.G.,,"The Attitude Polarization Phenomenon: Role of Response Measure, Attitude Extremity, and Behavioral Consequences of Reported Attitude Change",1993,Journal of Personality and Social Psychology,102,10.1037/0022-3514.64.4.561,United States,Article,Oxford,0,Journal,2-s2.0-21144462361
Friedkin N.,,Social influence and opinions,1990,The Journal of Mathematical Sociology,351,10.1080/0022250X.1990.9990069,United States,Article,,0,Journal,2-s2.0-84948285768
Poole K.,,The Polarization of American Politics,1984,The Journal of Politics,246,10.2307/2131242,United States,Article,Pittsburgh,0,Journal,2-s2.0-84927453467
Lord C.,,Biased assimilation and attitude polarization: The effects of prior theories on subsequently considered evidence,1979,Journal of Personality and Social Psychology,2158,10.1037/0022-3514.37.11.2098,United States,Article,Palo Alto,0,Journal,2-s2.0-0001371817
Degroot M.,,Reaching a consensus,1974,Journal of the American Statistical Association,1641,10.1080/01621459.1974.10480137,United States,Article,Pittsburgh,0,Journal,2-s2.0-84909522870
Schelling T.,,Dynamic models of segregation,1971,The Journal of Mathematical Sociology,2181,10.1080/0022250X.1971.9989794,United States,Article,Cambridge,0,Journal,2-s2.0-34247961611
Heider F.,,Attitudes and Cognitive Organization,1946,Journal of Psychology: Interdisciplinary and Applied,1686,10.1080/00223980.1946.9917275,United States,Article,Northampton,0,Journal,2-s2.0-84946651784
