Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Facchetti G.,,Computing global structural balance in large-scale signed social networks,2011,Proceedings of the National Academy of Sciences of the United States of America,174,10.1073/pnas.1109521108,Italy,Article,Trieste,1,Journal,2-s2.0-84855504473
Srinivasan A.,,Local balancing influences global structure in social networks,2011,Proceedings of the National Academy of Sciences of the United States of America,28,10.1073/pnas.1018901108,United States,Note,College Park,1,Journal,2-s2.0-79952139024
Szell M.,,Multirelational organization of large-scale social networks in an online world,2010,Proceedings of the National Academy of Sciences of the United States of America,502,10.1073/pnas.1004008107,Austria,Article,Vienna,1,Journal,2-s2.0-77956372873
Iacono G.,,Determining the distance to monotonicity of a biological network: A graph-theoretical approach,2010,IET Systems Biology,35,10.1049/iet-syb.2009.0040,Italy,Article,Trieste,0,Journal,2-s2.0-77953264688
Kunegis J.,,The Slashdot Zoo: Mining a social network with negative edges,2009,WWW'09 - Proceedings of the 18th International World Wide Web Conference,293,10.1145/1526709.1526809,Germany,Conference Paper,Berlin,0,Conference Proceeding,2-s2.0-77952646278
Marvel S.,,Energy landscape of social balance,2009,Physical Review Letters,95,10.1103/PhysRevLett.103.198701,United States,Article,Ithaca,0,Journal,2-s2.0-70449090575
Lampe C.,,Follow the reader: Filtering comments on slashdot,2007,Conference on Human Factors in Computing Systems - Proceedings,72,10.1145/1240624.1240815,United States,Conference Paper,East Lansing,0,Conference Proceeding,2-s2.0-35348828133
Kulakowski K.,,Some recent attempts to simulate the Heider balance problem,2007,Computing in Science and Engineering,13,10.1109/MCSE.2007.85,Poland,Article,Krakow MP,0,Journal,2-s2.0-34547439914
Antal T.,,Dynamics of social balance on networks,2005,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",145,10.1103/PhysRevE.72.036121,United States,Article,Boston,0,Journal,2-s2.0-28844504317
Galam S.,,Fragmentation versus stability in bimodal coalitions,1996,Physica A: Statistical Mechanics and its Applications,54,10.1016/0378-4371(96)00034-9,France;France,Article,Paris;Paris,0,Journal,2-s2.0-0030216790
Doreian P.,,A partitioning approach to structural balance,1996,Social Networks,171,10.1016/0378-8733(95)00259-6,United States,Article,Pittsburgh,0,Journal,2-s2.0-0030121954
Binder K.,,"Spin glasses: Experimental facts, theoretical concepts, and open questions",1986,Reviews of Modern Physics,3975,10.1103/RevModPhys.58.801,Germany;Germany,Article,Mainz;Jülich,0,Journal,2-s2.0-0043230411
Kirkpatrick S.,,Frustration and ground-state degeneracy in spin glasses,1977,Physical Review B,232,10.1103/PhysRevB.16.4630,United States;United States,Article,Stony Brook;Yorktown Heights,0,Journal,2-s2.0-0000168006
Mattis D.,,Solvable spin systems with random interactions,1976,Physics Letters A,318,10.1016/0375-9601(76)90396-0,United States,Article,New York,0,Journal,2-s2.0-12344318004
Davis J.,,Clustering and Structural Balance in Graphs,1967,Human Relations,357,10.1177/001872676702000206,,Article,,0,Journal,2-s2.0-34247985046
Cartwright D.,,Structural balance: a generalization of Heider's theory,1956,Psychological Review,1142,10.1037/h0046049,,Article,,0,Journal,2-s2.0-0001245990
Heider F.,,Attitudes and Cognitive Organization,1946,Journal of Psychology: Interdisciplinary and Applied,1686,10.1080/00223980.1946.9917275,United States,Article,Northampton,0,Journal,2-s2.0-84946651784
