Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Huberman B.,,Strong regularities in world wide web surfing,1998,Science,472,10.1126/science.280.5360.95,United States,Article,Palo Alto,0,Journal,2-s2.0-0032478716
Huberman B.,,Social dilemmas and Internet congestion,1997,Science,126,10.1126/science.277.5325.535,United States,Article,Palo Alto,0,Journal,2-s2.0-0030753499
Günther R.,,Zipf's law and the effect of ranking on probability distributions,1996,International Journal of Theoretical Physics,38,10.1007/BF02083823,Germany,Article,Reutlingen,0,Journal,2-s2.0-0039337727
Mantegna R.N.,,Systematic analysis of coding and noncoding DNA sequences using methods of statistical linguistics,1995,Physical Review E,108,10.1103/PhysRevE.52.2939,United States;United States;Italy;Israel,Article,Boston;Boston;Palermo;Ramat Gan,0,Journal,2-s2.0-33748681503
